feature_index,feature,weight_w,abs_weight,scaler_mean,scaler_scale
0,oct0_feat,0.658380,0.658380,-2.039561,2.287137
1,oct1_feat,0.578520,0.578520,-1.994629,1.884624
2,octa3_feat,0.243463,0.243463,-1.291775,1.531887
intercept,intercept_b,-0.640575,,,
