epoch,lr_max,lr_min,train_focal_loss,train_bce,train_acc,val_bce,val_acc,val_auc,fold
1,1.9970047371155703e-06,1.9970047371155703e-06,0.0469837853636662,0.7896883036797882,0.2837958818263205,0.9045826982368124,0.1136363636363636,0.5713384407390716,1
2,1.987863237928095e-06,1.987863237928095e-06,0.042456406586359,0.756499737207657,0.3043867502238138,0.8660055046731775,0.2215909090909091,0.619197836863452,1
3,1.972631233380932e-06,1.972631233380932e-06,0.0400065944806048,0.7363112566187218,0.3867502238137869,0.843535764650865,0.3125,0.6615592609283462,1
4,1.95140263384727e-06,1.95140263384727e-06,0.0390401692559063,0.7103644565694974,0.4816472694717995,0.8803919743407856,0.2642045454545454,0.7086976115367282,1
5,1.92430832070246e-06,1.92430832070246e-06,0.0360625126968565,0.6826461056779299,0.5389435989256938,0.9291255582462656,0.2414772727272727,0.742767012167643,1
6,1.891515339396812e-06,1.891515339396812e-06,0.0323820478493813,0.6398529784425413,0.6132497761862131,0.7806537340987812,0.4460227272727273,0.759170797656602,1
7,1.8532258695648492e-06,1.8532258695648492e-06,0.031934424431039,0.6336274218537921,0.6114592658907789,0.8445976688103243,0.3721590909090909,0.7752140603875619,1
8,1.8096759785206264e-06,1.8096759785206264e-06,0.0281973438255735,0.5871287060296204,0.7000895255147717,0.7186116928404028,0.5681818181818182,0.7869310500225327,1
9,1.7611341658242394e-06,1.7611341658242394e-06,0.0253391702690277,0.5363682907344832,0.7743957027752909,0.8136637481776151,0.4460227272727273,0.8062190175754844,1
10,1.707899707892752e-06,1.707899707892752e-06,0.0251931902788239,0.5300833964145066,0.7448522829006267,0.720570373264226,0.5681818181818182,0.7878323569175304,1
11,1.6503008128615656e-06,1.6503008128615656e-06,0.0249562494726909,0.5148059650521889,0.7878245299910475,0.7551752789454027,0.5625,0.8013519603424966,1
12,1.5886925970721232e-06,1.5886925970721232e-06,0.0269844700468098,0.5059143070034823,0.7896150402864817,0.7448714091019197,0.5511363636363636,0.8223524109959441,1
13,1.5234548956615783e-06,1.5234548956615783e-06,0.0242674934595236,0.4991812946653409,0.8057296329453895,0.7464521825313568,0.5681818181818182,0.8140603875619649,1
14,1.4549899207528631e-06,1.4549899207528631e-06,0.0216991393264106,0.468083871029911,0.8075201432408237,0.7346891002221541,0.5880681818181818,0.8257773771969356,1
15,1.383719781683205e-06,1.383719781683205e-06,0.0205928714780825,0.4473135808587821,0.8119964189794091,0.7109616656195034,0.6107954545454546,0.8182965299684543,1
16,1.3100838825596937e-06,1.3100838825596937e-06,0.0216040189445499,0.4330574980834391,0.8415398388540735,0.6847093708135865,0.6306818181818182,0.8266786840919332,1
17,1.2345362131868478e-06,1.2345362131868478e-06,0.0198619826334122,0.4226642155764673,0.8433303491495077,0.6765392409129576,0.6477272727272727,0.8175754844524561,1
18,1.1575425500685e-06,1.1575425500685e-06,0.0218166326361915,0.4257201154048462,0.8290062667860341,0.6501511904326353,0.6647727272727273,0.8158630013519603,1
19,1.0795775847407657e-06,1.0795775847407657e-06,0.0183436438414595,0.3993875507328696,0.8531781557743957,0.660730321298946,0.6619318181818182,0.8264984227129337,1
20,1.0011219971408725e-06,1.0011219971408725e-06,0.018581769776413,0.3886291856411427,0.8630259623992838,0.6080230609937147,0.7102272727272727,0.8324470482199189,1
21,9.226594920555036e-07,9.226594920555036e-07,0.0200845252475705,0.4049848611587483,0.8531781557743957,0.6248337274247949,0.6903409090909091,0.8208201892744479,1
22,8.446738169199414e-07,8.446738169199414e-07,0.0187998604981583,0.3720975493413588,0.8728737690241719,0.6665975735946135,0.6647727272727273,0.8264984227129337,1
23,7.676457793542649e-07,7.676457793542649e-07,0.0175350150118449,0.379972396546853,0.8567591763652641,0.601507594300942,0.71875,0.827219468228932,1
24,6.920502828244886e-07,6.920502828244886e-07,0.018436144696817,0.3602724066512757,0.8845120859444942,0.6652190766551278,0.6704545454545454,0.8315457413249211,1
25,6.183533987047716e-07,6.183533987047716e-07,0.0159513617297943,0.3633626246409642,0.8836168307967771,0.6412925957278772,0.6903409090909091,0.828391167192429,1
26,5.470094927924129e-07,5.470094927924129e-07,0.0183656671131988,0.3587172779262119,0.8818263205013429,0.6636989590796557,0.6704545454545454,0.8307345651194231,1
27,4.784584239916183e-07,4.784584239916183e-07,0.0174615129060549,0.3740790325451238,0.8666069829901522,0.6509258631955493,0.6846590909090909,0.8274898602974312,1
28,4.131228324370884e-07,4.131228324370884e-07,0.0157698048345391,0.3373944852217672,0.8988361683079678,0.6383940167725086,0.7017045454545454,0.8270392068499324,1
29,3.514055337770455e-07,3.514055337770455e-07,0.0185094578275015,0.3691669279507685,0.8728737690241719,0.6252417520365932,0.7017045454545454,0.8279405137449302,1
30,2.936870356808136e-07,2.936870356808136e-07,0.0185509067539028,0.3640254259429665,0.8710832587287377,0.644325102256103,0.6931818181818182,0.8314556106354214,1
31,2.4032319188250373e-07,2.4032319188250373e-07,0.0168312696586617,0.3501577992042261,0.8925693822739481,0.6275261894545772,0.6988636363636364,0.8313654799459216,1
32,1.916430082244116e-07,1.916430082244116e-07,0.0166960776983214,0.3590759578942185,0.8773500447627574,0.608750818805261,0.7073863636363636,0.8309148264984227,1
33,1.4794661422659306e-07,1.4794661422659306e-07,0.0171936664700294,0.3566327239641038,0.8836168307967771,0.6266539218750867,0.6988636363636364,0.8325371789094187,1
1,1.9969989492699816e-06,1.9969989492699816e-06,0.0457469940857779,0.7948856756601517,0.2748538011695906,0.8170774789417491,0.1397058823529411,0.6274929728282692,2
2,1.987851616793226e-06,1.987851616793226e-06,0.0419732614909746,0.7537141950706093,0.3299916457811194,0.8045448660850525,0.2316176470588235,0.7231963592557891,2
3,1.9726138506049438e-06,1.9726138506049438e-06,0.0356730450856606,0.7008165403914233,0.4569757727652464,0.715400895651649,0.4816176470588235,0.7968143488154196,2
4,1.951379596600756e-06,1.951379596600756e-06,0.0355284926337606,0.6647492734810264,0.5522138680033417,0.6821804923169753,0.5477941176470589,0.8494177486280283,2
5,1.924279771017706e-06,1.924279771017706e-06,0.031903771952778,0.6330538653988786,0.6416040100250626,0.6399387033546672,0.6397058823529411,0.8676214696827734,2
6,1.8914814532921183e-06,1.8914814532921183e-06,0.0318719209432477,0.6244597438981161,0.6758563074352548,0.5619787468629724,0.7683823529411765,0.8832820238254584,2
7,1.8531868559593205e-06,1.8531868559593205e-06,0.0288243514354167,0.576415523002819,0.733500417710944,0.5922645084998187,0.6948529411764706,0.8811404095837236,2
8,1.809632077946113e-06,1.809632077946113e-06,0.0263157768973282,0.5456479064304827,0.7644110275689223,0.6540329684229458,0.6102941176470589,0.8901084192209878,2
9,1.7610856489423815e-06,1.7610856489423815e-06,0.025676041941097,0.5437173455480545,0.7493734335839599,0.5664949417114258,0.7316176470588235,0.8883683576495784,2
10,1.7078468738262602e-06,1.7078468738262602e-06,0.0242452523239274,0.504479910397191,0.8003341687552213,0.4765072377289043,0.8492647058823529,0.8942577968143488,2
11,1.6502439873500288e-06,1.6502439873500288e-06,0.0216795075544737,0.4784228199456469,0.8262322472848789,0.4896680414676666,0.8125,0.8984071744077098,2
