epoch,train_acc_mean,train_acc_std,val_acc_mean,val_acc_std,train_bce_mean,train_bce_std,val_bce_mean,val_bce_std,val_auc_mean,val_auc_std
1,0.2942033897895401,0.02791293769306709,0.16325715989659645,0.05814657450263526,0.7849974624877245,0.009330095210814264,0.8138854902280483,0.055635873814232614,0.5895437372678978,0.03494742145056544
2,0.32198661166217485,0.038965996899674504,0.24876071392635407,0.07930800389343334,0.7568151163699824,0.02070321058503621,0.7981647962362988,0.04696749162976407,0.6728104633751613,0.061721131344764917
3,0.4147794209591956,0.07715640438204237,0.3510820470629076,0.08361535512650758,0.7266329100514846,0.027534635614110226,0.7735208424871642,0.04829783170012069,0.7285608107754207,0.06889698793982346
4,0.5011344131161881,0.07502013398353954,0.4100858251364956,0.11603956823319257,0.6938956036034616,0.029781019296243896,0.7647045561169371,0.07515455092980565,0.7670346512748589,0.07695622629785111
5,0.5832585549984648,0.0635338136067433,0.4611890000948236,0.14574213337217848,0.6623966765519863,0.028570307663753423,0.7545150774319194,0.10699266200259487,0.7907207551786644,0.07430636847229055
6,0.6354798698147345,0.05168371109144976,0.5735799378559173,0.11880336844382393,0.638403440680378,0.03153983174901032,0.6909952382491034,0.07942680144430203,0.8083805216370277,0.07456870366159124
7,0.6731199141645703,0.058145428347290945,0.550161913121231,0.13086526125424913,0.6110628661431308,0.03410131816178165,0.7044610537662214,0.09715382575864881,0.81957832351555,0.0722942125676961
8,0.7000400261867268,0.05806569823848852,0.6068285435349166,0.07220770271530297,0.5890612103366223,0.03864011848221565,0.6695259561957106,0.04952188934554913,0.8284583912508456,0.07094891469710979
9,0.7389002269936311,0.03718852482675068,0.627477292911695,0.11770512988886891,0.5620500955250952,0.029479765888415027,0.6483255107718661,0.09991252703742437,0.8351128060306753,0.06517709029653747
10,0.7558242748531705,0.03769657270347735,0.6872714763515025,0.11954039168469831,0.5365957675142672,0.04033516068553349,0.6073870738397048,0.09605567740149004,0.8377376415857786,0.07009565070370073
11,0.7813309696693331,0.05122997281854411,0.6786932167785945,0.1149308222343472,0.516340724928515,0.04300471349255982,0.610712188125145,0.11407212852253495,0.8456978018907213,0.06779824457496496
12,0.7893535968671588,0.03028870057633982,0.6944953565081116,0.0950969221862193,0.5048133825750545,0.03351784989012868,0.5917369702014542,0.09992927344514664,0.8488789291792724,0.06674506685468301
13,0.8061714675888719,0.034228636751901756,0.7127982166969287,0.11975787655693373,0.4829926674778859,0.03372701728156719,0.5744511767255658,0.12341950857844812,0.8507973992653541,0.06485847227295813
14,0.8049768002958168,0.042433270104480086,0.7405725469132303,0.11199579010872948,0.47141614512326324,0.04767110366773435,0.5468875908506838,0.12813937926722924,0.8533797733423002,0.06825917255766205
15,0.8262602550359084,0.03460937608914311,0.7535235836654399,0.10167765878965783,0.4522082303956642,0.04047297249361718,0.5278913175731412,0.11981475255085361,0.8536429631131807,0.06443785558404717
16,0.8304658107548232,0.03712095003470915,0.7295760790527824,0.08167642396248212,0.4428251909392681,0.04709930191762575,0.5459467785617181,0.09658380614280497,0.8576388326570464,0.061649956751515966
17,0.8273181782366393,0.043820820356548475,0.755844024319143,0.07482593079354,0.43753364562216335,0.0364742731572444,0.5270895456270134,0.09412603688495588,0.8552716218381915,0.06476681246431985
18,0.8478297296877221,0.03325564617991916,0.759453279112064,0.07610442234394674,0.42017318042827745,0.043085795839085596,0.5145831881873423,0.09913511244571857,0.8545898181970444,0.06389209303251879
19,0.8469217994400026,0.03800043710466709,0.7655499691021196,0.08469626878457541,0.41337154702147166,0.042091274369350944,0.5114355758170637,0.11010545466407148,0.8588599749718859,0.06314259297274172
20,0.8555236803112158,0.019959442659325578,0.7953592723759221,0.059770570165662534,0.4037320644931796,0.0351970103594012,0.47841287777856734,0.08922799733262349,0.861175936315768,0.06000018409102875
21,0.8476608648688758,0.021906753235015758,0.774562109482521,0.07071622624772046,0.4110650673670321,0.04157132992776092,0.4924849605874454,0.09740257085886063,0.8584441393285003,0.06303858979163258
22,0.8684111345415317,0.02121016840240431,0.7814052037752995,0.0759658059239316,0.38937687628317497,0.037308816514943006,0.4962250618367249,0.11188836860959951,0.8605212419366056,0.06232524129644715
23,0.8739032371594536,0.0279299046050366,0.7982773423036846,0.06202833559545029,0.37130962092883407,0.041530718377890116,0.4670832634325174,0.09678245011697066,0.8621577468115319,0.06149760156906966
24,0.8649844340315831,0.032684815607290404,0.7897188986183938,0.07566623353386169,0.38435218891201295,0.04427701176866696,0.47755933294948366,0.1162261943724231,0.8635436796025212,0.0629883654313374
25,0.8671341756769013,0.03812457240395154,0.7745970774267436,0.06163655246964528,0.3777376595656797,0.05355481671518927,0.4898477537717409,0.09762116933531494,0.8624747995447309,0.06340469336250187
26,0.8692010319147141,0.020019028530154387,0.8001323353907439,0.08486079058920282,0.37421175246323285,0.03601679378289531,0.4701346130323166,0.12666814320013467,0.8612782991830479,0.06482578933385409
27,0.874682964443393,0.029821101361056805,0.7887572559293389,0.0645020156399437,0.366269238080268,0.04062731607462656,0.4821771615127857,0.10485330043375216,0.8623811759099336,0.06413128493517195
