epoch,lr_max,lr_min,train_focal_loss,train_bce,train_acc,val_bce,val_acc,val_auc
1,9.985017573980262e-06,9.985017573980263e-07,0.6714460427015363,4.99439113003567,0.373568281938326,3.6073720949452097,0.3943089430894309,0.483179012345679
2,9.939303916096278e-06,9.939303916096278e-07,0.6461934916510981,4.318599916869848,0.39295154185022024,3.0775662166316335,0.43902439024390244,0.49243827160493825
3,9.863137807084336e-06,9.863137807084336e-07,0.5445978628381234,3.4960935890937166,0.452863436123348,2.6658168779156073,0.47560975609756095,0.48595679012345677
4,9.756988836334296e-06,9.756988836334296e-07,0.5654570757555016,3.443303705417112,0.44933920704845814,3.185439432539591,0.3983739837398374,0.5030864197530864
5,9.621511447548946e-06,9.621511447548947e-07,0.5470873339060645,3.1821705839182313,0.47665198237885464,2.976454738678971,0.43902439024390244,0.5021604938271604
6,9.457540903880954e-06,9.457540903880954e-07,0.46011426685139994,2.6142232697440666,0.5251101321585903,2.65919829190262,0.4634146341463415,0.5188271604938272
7,9.266088138257769e-06,9.266088138257769e-07,0.41804015518285104,2.407399432144501,0.5409691629955947,2.573060235356897,0.45528455284552843,0.509104938271605
8,9.048333520643963e-06,9.048333520643964e-07,0.430227743679994,2.187999594054033,0.5726872246696035,2.3987030207626217,0.5121951219512195,0.5112654320987654
9,8.805619580667885e-06,8.805619580667885e-07,0.5084221604637112,2.263186145143887,0.5559471365638766,2.4836677099631084,0.47560975609756095,0.528858024691358
10,8.539442730480062e-06,8.539442730480062e-07,0.417220021081916,1.941590862862339,0.5832599118942732,2.4367791724398855,0.4796747967479675,0.521141975308642
11,8.251444038874685e-06,8.251444038874686e-07,0.3745903036667912,1.886450285848542,0.5894273127753304,2.212088170090342,0.516260162601626,0.5388888888888889
12,7.943399113554787e-06,7.943399113554788e-07,0.4211700398228767,1.7131809774999576,0.6140969162995594,1.8780640935510156,0.556910569105691,0.519753086419753
13,7.617207153920296e-06,7.617207153920297e-07,0.3705536892760693,1.7050270802123957,0.6140969162995594,1.9087262773901466,0.5650406504065041,0.5199074074074074
14,7.274879241872192e-06,7.274879241872193e-07,0.3916928100034529,1.5803443312119807,0.6334801762114537,2.2434966254040476,0.47560975609756095,0.5375
15,6.918525942823836e-06,6.918525942823837e-07,0.40443406475272997,1.6434445033514553,0.613215859030837,2.2198737646506084,0.5040650406504065,0.5564814814814815
16,6.550344293363355e-06,6.550344293363356e-07,0.3641264046866463,1.5887003112994627,0.6466960352422908,2.369129665498811,0.491869918699187,0.5603395061728395
17,6.172604255792497e-06,6.172604255792497e-07,0.3691969201165674,1.552841743603677,0.6511013215859031,2.578748828996488,0.44715447154471544,0.5666666666666667
18,5.787634723054194e-06,5.787634723054195e-07,0.3877569055504736,1.5722394195422202,0.6378854625550661,2.2896781762441,0.508130081300813,0.5702160493827161
19,5.397809160333141e-06,5.397809160333141e-07,0.3200941774944902,1.5951980074071674,0.6519823788546255,2.4112911360050604,0.4715447154471545,0.5578703703703703
20,5.0055309718536605e-06,5.005530971853661e-07,0.36161197676007445,1.4875994116199174,0.6484581497797357,2.4713011214403604,0.4715447154471545,0.5555555555555556
21,4.613218683093471e-06,4.6132186830934713e-07,0.32894911661022036,1.3772461516216463,0.66784140969163,1.7270197470982869,0.5650406504065041,0.5523148148148148
22,4.223291029769847e-06,4.2232910297698476e-07,0.27250223906817417,1.4007732627150247,0.6740088105726872,2.000300307584003,0.540650406504065,0.5544753086419754
23,3.838152045529636e-06,3.8381520455296357e-07,0.33744425886528084,1.3478928546023263,0.6898678414096916,1.9019487989627248,0.5487804878048781,0.553858024691358
24,3.460176240282385e-06,3.4601762402823847e-07,0.3572446678703577,1.3317995809773517,0.6748898678414097,2.1226606688848357,0.5203252032520326,0.5757716049382716
25,3.091693960557152e-06,3.091693960557152e-07,0.3269997509237428,1.3997570607630692,0.652863436123348,1.9550611381608296,0.532520325203252,0.5503086419753087
26,2.734977022141236e-06,2.734977022141236e-07,0.33225795841952255,1.4062958230006013,0.66784140969163,1.8239236929552343,0.573170731707317,0.561574074074074
27,2.392224703580391e-06,2.392224703580391e-07,0.29206416041052813,1.2844386695240038,0.6828193832599119,2.1080904898604724,0.5284552845528455,0.571141975308642
28,2.0655501868952576e-06,2.065550186895258e-07,0.3079275973305303,1.3020472981331106,0.6977973568281939,1.810568861845063,0.5691056910569106,0.571604938271605
29,1.7569675291114947e-06,1.7569675291114947e-07,0.2871621278824391,1.2442095685635368,0.6784140969162996,2.124518282045194,0.5284552845528455,0.5839506172839507
30,1.4683792449284905e-06,1.4683792449284908e-07,0.3221910971770728,1.2781712502109848,0.6757709251101321,1.8228067149960898,0.5609756097560976,0.578395061728395
31,1.2015645770835748e-06,1.201564577083575e-07,0.24977251876162013,1.2431533755709947,0.7057268722466961,2.0393724780741747,0.540650406504065,0.5760802469135804
