row_type,C,fold,auc
per_fold,0.001,1,0.898169
per_fold,0.001,2,0.860126
per_fold,0.001,3,0.918192
per_fold,0.001,4,0.906100
per_fold,0.001,5,0.819079
per_fold,0.01,1,0.900458
per_fold,0.01,2,0.863272
per_fold,0.01,3,0.916476
per_fold,0.01,4,0.904007
per_fold,0.01,5,0.811603
per_fold,0.1,1,0.901030
per_fold,0.1,2,0.862414
per_fold,0.1,3,0.914474
per_fold,0.1,4,0.903409
per_fold,0.1,5,0.805323
per_fold,1.0,1,0.901602
per_fold,1.0,2,0.862986
per_fold,1.0,3,0.912471
per_fold,1.0,4,0.903110
per_fold,1.0,5,0.802931
per_fold,10.0,1,0.901602
per_fold,10.0,2,0.862986
per_fold,10.0,3,0.912471
per_fold,10.0,4,0.903708
per_fold,10.0,5,0.800837
summary,0.001,BEST,0.880333±0.036265
summary,0.01,,0.879163±0.038157
summary,0.1,,0.877330±0.040072
summary,1.0,,0.876620±0.040564
summary,10.0,,0.876321±0.041404
