feature_index,feature,weight_w,abs_weight,scaler_mean,scaler_scale
0,oct0_feat,1.142272,1.142272,-2.039561,2.287137
1,oct1_feat,0.748846,0.748846,-1.550301,1.857013
2,octa3_feat,0.284752,0.284752,-1.095560,1.406039
intercept,intercept_b,-0.894220,,,
