feature_index,feature,weight_w,abs_weight,scaler_mean,scaler_scale
0,oct0_feat,0.554881,0.554881,-0.579272,1.556961
1,oct1_feat,0.528277,0.528277,-1.024116,1.633953
2,octa3_feat,0.276659,0.276659,-0.535507,1.171945
intercept,intercept_b,-0.400256,,,
