epoch,train_acc_mean,train_acc_std,val_acc_mean,val_acc_std,train_bce_mean,train_bce_std,val_bce_mean,val_bce_std,val_auc_mean,val_auc_std
1,0.42752081722666607,0.028197690126001075,0.45377127651389515,0.29293378693457706,0.7382897253386671,0.016583569300512555,0.721875600879604,0.11686172491568679,0.6490014923605613,0.04645482067273254
2,0.4685978075298577,0.04247355480971782,0.3968647716688404,0.26657071778748115,0.713507132470555,0.015137621681899707,0.7505996626704209,0.09634442988713905,0.6977797167068027,0.06569288809248897
3,0.5421179531821672,0.05773900473610672,0.5881134738667633,0.18556591154712432,0.6806953818028735,0.028255743044795195,0.6803206221615963,0.08546324339475528,0.7059641272499956,0.0618562393969319
4,0.6115542683876182,0.06158061163868509,0.6485303195922606,0.05521968820618407,0.6408432848643373,0.03428961956999209,0.6397009180603993,0.03746277498247871,0.7160000713337954,0.06547463703880436
5,0.6803767163012671,0.05228904665558961,0.6798416284909472,0.1686221871067771,0.5888513408950049,0.03691182629478534,0.6234678906071626,0.09990226967433682,0.7158611603527504,0.057807158279451154
6,0.700267347896158,0.049989061288398404,0.6742950973203963,0.07277374278278945,0.5671935867989472,0.03694395852424783,0.620608772213101,0.05631127687673102,0.7170385622420461,0.0683945290581586
7,0.75908401401879,0.028634516874706206,0.6877622859663519,0.09343115161478696,0.5157850846816496,0.02713954304279797,0.5954490169631426,0.07478301794953099,0.713185348990713,0.06556293012610272
8,0.7743739729067627,0.029277218960062475,0.6931856004269484,0.11625609121822762,0.49102397772815964,0.02968685680700805,0.5855459536452828,0.09858495670726984,0.713369392801648,0.058858694364383665
9,0.8045556471073161,0.02556017140098939,0.7234498354035791,0.14270046143409484,0.45690756869267996,0.03924220010248683,0.5580313698195019,0.14537893680370567,0.7137127684577634,0.06808992541407959
10,0.816925353890611,0.025886947764872718,0.764742358130531,0.12846447804854913,0.4321808596557622,0.04062273349665218,0.5122107083406349,0.13456395668691273,0.7141204103305071,0.07116694826545275
11,0.8369177124870397,0.022285119807485678,0.7901353283837612,0.15862171421507054,0.4109329072302665,0.032645570139161875,0.5057635762401114,0.16397035481951322,0.7162599052218918,0.06375312508796543
12,0.8604086737766232,0.017496728260126312,0.7520943928268004,0.12481375104596024,0.38250056009301253,0.03867394747625016,0.5391707151326905,0.14447531098549546,0.7239897581028567,0.06495314589071398
13,0.8631506243049882,0.026609719265883586,0.7804293700582501,0.09188735354267695,0.371272079662394,0.04843413798731177,0.5109336713387924,0.09994170731224954,0.7188074565202631,0.07070319819600387
14,0.8774206681344445,0.024055141387655778,0.7771012958090823,0.11737150482073316,0.34785775316625916,0.04402894653706835,0.5053855527714661,0.1212587623281601,0.7103202649214754,0.07684866683860223
15,0.8863479499178563,0.027660465249907333,0.8201862873320582,0.06322456983780152,0.3352050231811738,0.04754319991847903,0.45673210403492015,0.10872704528097972,0.7020284714568998,0.08095040661573923
16,0.9037748929758235,0.017445035704380843,0.8349901117176413,0.0802538701794269,0.3020361097317459,0.0254845978888108,0.4532002564128435,0.10550723178869181,0.7027074297332099,0.08801895869703065
17,0.9088236355436854,0.017112095876820554,0.8284398270574509,0.07687945899021327,0.28980036653463115,0.03633982927397407,0.44791573542592433,0.11259668619277627,0.7055043150418384,0.0783415490000936
18,0.9102462818035597,0.0255394904828951,0.8332611840813043,0.0781460251071003,0.277040243707115,0.04923206147280174,0.43048011107264994,0.1366804878891952,0.7109749094938472,0.07717618095903332
19,0.9211305997272342,0.03130059497843532,0.8384668804428852,0.08141466828160177,0.2588503326231485,0.04333878587284171,0.43541850956077904,0.14674944082764532,0.7048639959519404,0.08293717859176372
20,0.9256868382891785,0.012177367583054847,0.8418531476209812,0.0679413609047518,0.26055529766781604,0.03054379593512706,0.4301433362170046,0.14614446755339539,0.7104707458928134,0.08394131727200525
21,0.9306262927526482,0.012557163127172285,0.8482879538758055,0.07723438904383098,0.23523593193284487,0.03346543513111951,0.4158820850040247,0.15555984763447114,0.7100186199044998,0.08372652737192672
22,0.9266925327710887,0.025000741322233955,0.8762554079689032,0.03490928574991277,0.24579227691609798,0.040392954349620036,0.34965035406012074,0.04432571392446516,0.7382553666983389,0.06876986053281511
23,0.930704100486026,0.016334675913140924,0.874122287947572,0.03511653091328431,0.24647246895498828,0.02345791484372077,0.3457497075370055,0.04554058287098831,0.7273321329294736,0.0686078999974392
24,0.9381096543904851,0.00953849027757358,0.8614152694078036,0.03501926727037146,0.22312272908233163,0.019079787317427224,0.3561451203997707,0.07770201823508804,0.7359997380853193,0.060099425544921925
25,0.9368062207742803,0.011796595319770614,0.8684699431291438,0.026932103161687156,0.2317792794104295,0.025933093850538488,0.3513482715564713,0.08046640550769756,0.7348608398752717,0.06390793447919807
26,0.95073865257908,0.009933281066423709,0.876197036381018,0.03200175591317282,0.20495338065196608,0.02809221893101634,0.3454329302516151,0.0568605272639002,0.7333962651533058,0.06234997905545841
27,0.9477735100986292,0.011986209957423647,0.8780190763992385,0.03185727946737668,0.2115209113788651,0.01837618799969621,0.3449803577803203,0.043878917057372256,0.7354597068977541,0.06360611114482938
28,0.9434805398606008,0.013297464392225764,0.8744917395385682,0.03796173555132252,0.20953601490325144,0.025876518005426466,0.34715080775471735,0.04340224521668892,0.7291988088821663,0.06248884678071442
29,0.9467751128765785,0.006653296383292289,0.8771664279780135,0.03641874514777372,0.2134539877595171,0.01944129473931495,0.34444827096924985,0.0375610850488085,0.7277746180257202,0.06494919097115306
30,0.9465244799451386,0.007163625553069684,0.8747333379536825,0.03376567532124063,0.20241132731298753,0.017587394550109745,0.34039784407516377,0.05231704341377781,0.7258891089955922,0.06332248264156566
31,0.9561103381838665,0.005576136784359444,0.8927440589274406,0.003158094479851876,0.1936953290165771,0.01671195946315586,0.34296384942532376,0.06424122434446755,0.7074648415689557,0.07365633948116676
32,0.9342301943198804,,0.8858447488584474,,0.2279046176527647,,0.2906317512194316,,0.7590452261306533,
33,0.9551569506726456,,0.8858447488584474,,0.2052930424655321,,0.2922299806385824,,0.7580402010050251,
34,0.9506726457399104,,0.8858447488584474,,0.2162077130669079,,0.2944244919302257,,0.7605527638190954,
35,0.9521674140508222,,0.8949771689497716,,0.2116856443596884,,0.2984379197908863,,0.7618090452261307,
