epoch,lr_max,lr_min,train_focal_loss,train_bce,train_acc,val_bce,val_acc,val_auc
1,2.9955000670434557e-05,2.9955000670434557e-05,0.5671349217325954,3.223399092787403,0.45677966101694917,32.62105504987974,0.4809688581314879,0.3628663003663004
2,2.9817807237153396e-05,2.9817807237153396e-05,0.4110634030426963,2.109240900459936,0.5635593220338984,18.741521786034728,0.5397923875432526,0.5283882783882784
3,2.9589257094834263e-05,2.9589257094834263e-05,0.3903242611784046,1.9124141697156227,0.5932203389830508,14.593760172801034,0.43944636678200694,0.5764652014652014
4,2.9270759331105195e-05,2.9270759331105195e-05,0.38385846746169916,1.8244489481893635,0.5872881355932204,31.618383876180154,0.4463667820069204,0.5597527472527473
5,2.8864277590590834e-05,2.8864277590590834e-05,0.38121787622823555,1.5027053558220298,0.6466101694915254,6.194977584594674,0.5397923875432526,0.612408424908425
6,2.8372317968390342e-05,2.8372317968390342e-05,0.3466082035106117,1.4010707366264472,0.6533898305084745,60.486749231609096,0.5467128027681661,0.5847069597069596
7,2.7797913559167766e-05,2.7797913559167766e-05,0.2921732662884929,1.3386064160299502,0.6516949152542373,7.235761328139519,0.5743944636678201,0.607257326007326
8,2.7144605757114804e-05,2.7144605757114804e-05,0.2792619210178569,1.3255197230031934,0.6754237288135593,23.894670069011436,0.5086505190311419,0.5771520146520147
9,2.6416422422078012e-05,2.6416422422078012e-05,0.313962332190851,1.2645741282883336,0.6703389830508475,96.10914000672865,0.5397923875432526,0.6517857142857143
10,2.5617853046463415e-05,2.5617853046463415e-05,0.2742811043131149,1.1539444842581021,0.7220338983050848,34.20442706738376,0.5640138408304498,0.6277472527472527
11,2.4753821076022946e-05,2.4753821076022946e-05,0.28079810766345364,1.2769044128514953,0.6822033898305084,2.108858709929311,0.6782006920415224,0.6398809523809524
12,2.3829653555174147e-05,2.3829653555174147e-05,0.27278934491451007,1.056340025643171,0.7211864406779661,1.2166526631087993,0.6539792387543253,0.6529304029304029
13,2.285104828399995e-05,2.285104828399995e-05,0.24355574893623086,1.0802540132554912,0.7322033898305085,2.19349601689507,0.6608996539792388,0.6435439560439561
14,2.1824038689416413e-05,2.1824038689416413e-05,0.23318250885995903,0.9208164027181722,0.7457627118644068,4.300490981979766,0.7162629757785467,0.6508699633699634
15,2.0754956627089485e-05,2.0754956627089485e-05,0.26786408818275587,0.9653802381228592,0.7186440677966102,38.0645332402424,0.6643598615916955,0.6561355311355311
16,1.965039334343928e-05,1.965039334343928e-05,0.2666821323966576,1.1544544880673038,0.7059322033898305,26.752278544086074,0.615916955017301,0.6314102564102564
17,1.851715883841406e-05,1.851715883841406e-05,0.2876181244092473,1.15527082055302,0.7033898305084746,76.88924821685342,0.5951557093425606,0.5972985347985348
18,1.7362239879576022e-05,1.7362239879576022e-05,0.25795868476063516,0.8998998379303237,0.7627118644067796,15.859796503423407,0.6955017301038062,0.6657509157509157
19,1.6192756926355928e-05,1.6192756926355928e-05,0.21418375500430495,0.8662152275190516,0.7491525423728813,4.461661676222065,0.6228373702422145,0.5998168498168499
20,1.5015920230052921e-05,1.5015920230052921e-05,0.25671827016690335,0.8841577297045012,0.7398305084745763,3.85904498908759,0.5432525951557093,0.5968406593406594
21,1.3838985380237623e-05,1.3838985380237623e-05,0.2005246965056759,0.8246832335399369,0.7720338983050847,1.8009643983675947,0.5605536332179931,0.6735347985347986
22,1.2669208571629696e-05,1.2669208571629696e-05,0.1589562774588496,0.7840471273761684,0.7661016949152543,16.201135765722466,0.5363321799307958,0.6240842490842491
23,1.1513801867244479e-05,1.1513801867244479e-05,0.20220898291317083,0.8625092382148161,0.7627118644067796,1.3104889269106117,0.6020761245674741,0.6987179487179487
24,1.0379888733626216e-05,1.0379888733626216e-05,0.19926315759529628,0.713587893469859,0.7805084745762711,38.13388539350569,0.5916955017301038,0.6103479853479853
25,9.27446012230804e-06,9.27446012230804e-06,0.20864523990144257,0.7532487141157863,0.7771186440677966,37.168778836933384,0.6262975778546713,0.6964285714285715
26,8.204331368271052e-06,8.204331368271052e-06,0.2087709526862886,0.7987038725513523,0.7728813559322034,17.56829046790575,0.5570934256055363,0.6350732600732601
27,7.1761001711378035e-06,7.1761001711378035e-06,0.2171781318700257,0.7739151449274209,0.7652542372881356,2.9723087924574485,0.6055363321799307,0.600503663003663
28,6.196105918160195e-06,6.196105918160195e-06,0.17982214477102634,0.7916870383893029,0.7720338983050847,32.90392951899334,0.6124567474048442,0.6146978021978022
29,5.270390599788989e-06,5.270390599788989e-06,0.17102243184917054,0.6952931480892633,0.7771186440677966,24.104655538050775,0.5570934256055363,0.6465201465201466
30,4.404661558793526e-06,4.404661558793526e-06,0.18550204896699574,0.6925161392001783,0.7822033898305085,25.439499552274658,0.5674740484429066,0.6412545787545788
31,3.6042563025956633e-06,3.6042563025956633e-06,0.23772731376969714,0.8260034277277478,0.7576271186440678,3.7186151021079623,0.6332179930795848,0.6233974358974359
32,2.874109595761616e-06,2.874109595761616e-06,0.22797029320213755,0.8197560352794194,0.7491525423728813,10.540381017440744,0.5916955017301038,0.6421703296703297
