VGG16_RECALL(X),VGG16_PRECISION(Y),EffNetB0_RECALL(X),EffNetB0_PRECISION(Y),SwinT_RECALL(X),SwinT_PRECISION(Y)
0.684211,0.276596,0.710526,0.254717,0.894737,0.377778
0.710526,0.241071,0.736842,0.243478,0.894737,0.357895
0.710526,0.245455,0.736842,0.245614,0.894737,0.369565
0.710526,0.243243,0.736842,0.247788,0.894737,0.365591
0.710526,0.25,0.736842,0.25,0.894737,0.361702
0.710526,0.252336,0.736842,0.256881,0.894737,0.354167
0.710526,0.247706,0.736842,0.254545,0.894737,0.373626
0.736842,0.247788,0.736842,0.259259,0.921053,0.286885
0.736842,0.245614,0.736842,0.261682,0.921053,0.289256
0.763158,0.252174,0.736842,0.252252,0.921053,0.291667
0.763158,0.25,0.763158,0.230159,0.921053,0.294118
0.763158,0.247863,0.763158,0.232,0.921053,0.29661
0.789474,0.238095,0.763158,0.233871,0.921053,0.301724
0.789474,0.24,0.763158,0.235772,0.921053,0.304348
0.789474,0.241935,0.763158,0.237705,0.921053,0.309735
0.789474,0.243902,0.763158,0.228346,0.921053,0.299145
0.789474,0.252101,0.763158,0.243697,0.921053,0.307018
0.789474,0.247934,0.763158,0.245763,0.947368,0.283465
0.789474,0.25,0.763158,0.247863,0.947368,0.292683
0.789474,0.254237,0.763158,0.25,0.947368,0.290323
0.789474,0.245902,0.763158,0.239669,0.947368,0.288
0.789474,0.23622,0.763158,0.241667,0.947368,0.285714
0.789474,0.234375,0.763158,0.226562,0.947368,0.28125
0.789474,0.230769,0.763158,0.223077,0.947368,0.276923
0.789474,0.223881,0.763158,0.211679,0.947368,0.215569
0.789474,0.225564,0.763158,0.213235,0.947368,0.214286
0.789474,0.232558,0.763158,0.214815,0.947368,0.213018
0.789474,0.229008,0.763158,0.224806,0.947368,0.211765
0.789474,0.227273,0.763158,0.218045,0.947368,0.210526
0.815789,0.22963,0.763158,0.219697,0.947368,0.209302
0.815789,0.227941,0.763158,0.221374,0.947368,0.208092
0.815789,0.226277,0.763158,0.216418,0.947368,0.206897
0.815789,0.224638,0.789474,0.217391,0.947368,0.205714
0.815789,0.223022,0.789474,0.215827,0.947368,0.204545
0.842105,0.228571,0.789474,0.214286,0.947368,0.20339
0.842105,0.22695,0.789474,0.212766,0.947368,0.202247
0.842105,0.225352,0.815789,0.197452,0.947368,0.201117
0.842105,0.223776,0.815789,0.196203,0.947368,0.2
0.868421,0.218543,0.815789,0.194969,0.947368,0.198895
0.868421,0.22,0.815789,0.19375,0.947368,0.197802
0.868421,0.221477,0.815789,0.192547,0.947368,0.196721
0.868421,0.226027,0.815789,0.186747,0.947368,0.182741
0.868421,0.22449,0.815789,0.190184,0.947368,0.183673
0.868421,0.227586,0.815789,0.189024,0.947368,0.184615
0.868421,0.229167,0.815789,0.185629,0.947368,0.185567
0.868421,0.222973,0.815789,0.198718,0.947368,0.27907
0.894737,0.223684,0.815789,0.191358,0.947368,0.1875
0.921053,0.21875,0.815789,0.2,0.947368,0.216867
0.921053,0.212121,0.815789,0.187879,0.947368,0.188482
0.921053,0.213415,0.815789,0.202614,0.947368,0.190476
0.921053,0.216049,0.815789,0.201299,0.947368,0.191489
0.921053,0.220126,0.815789,0.216783,0.947368,0.192513
0.921053,0.214724,0.815789,0.215278,0.947368,0.193548
0.921053,0.22293,0.815789,0.21831,0.947368,0.194595
0.921053,0.221519,0.815789,0.212329,0.947368,0.195652
0.921053,0.228758,0.815789,0.213793,0.947368,0.189474
0.921053,0.227273,0.815789,0.209459,0.947368,0.218182
0.921053,0.217391,0.815789,0.208054,0.947368,0.186528
0.921053,0.224359,0.815789,0.206667,0.947368,0.220859
0.921053,0.225806,0.815789,0.205298,0.947368,0.25
0.947368,0.202247,0.815789,0.203947,0.947368,0.251748
0.947368,0.20339,0.815789,0.210884,0.947368,0.253521
0.947368,0.205714,0.842105,0.190476,0.947368,0.255319
0.947368,0.206897,0.842105,0.189349,0.947368,0.257143
0.947368,0.208092,0.868421,0.188571,0.947368,0.258993
0.947368,0.204545,0.868421,0.1875,0.947368,0.248276
0.947368,0.210526,0.868421,0.189655,0.947368,0.26087
0.947368,0.211765,0.868421,0.192982,0.947368,0.264706
0.947368,0.213018,0.868421,0.19186,0.947368,0.266667
0.947368,0.214286,0.868421,0.194118,0.947368,0.268657
0.947368,0.215569,0.868421,0.190751,0.947368,0.270677
0.947368,0.216867,0.894737,0.161137,0.947368,0.274809
0.947368,0.209302,0.894737,0.166667,0.947368,0.219512
0.973684,0.188776,0.894737,0.165854,0.947368,0.262774
0.973684,0.187817,0.894737,0.165049,0.947368,0.246575
0.973684,0.186869,0.894737,0.164251,0.947368,0.272727
0.973684,0.18593,0.894737,0.167488,0.947368,0.243243
0.973684,0.185,0.894737,0.163462,0.947368,0.223602
0.973684,0.18408,0.894737,0.162679,0.947368,0.222222
0.973684,0.181373,0.894737,0.161905,0.947368,0.225
0.973684,0.182266,0.894737,0.160377,0.947368,0.226415
0.973684,0.180488,0.894737,0.153153,0.947368,0.227848
0.973684,0.179612,0.894737,0.158879,0.947368,0.229299
0.973684,0.178744,0.894737,0.15814,0.947368,0.244898
0.973684,0.189744,0.894737,0.157407,0.947368,0.230769
0.973684,0.183168,0.894737,0.156682,0.947368,0.233766
0.973684,0.177885,0.894737,0.155963,0.947368,0.235294
0.973684,0.19171,0.894737,0.155251,0.947368,0.236842
0.973684,0.192708,0.894737,0.154545,0.947368,0.238411
0.973684,0.190722,0.894737,0.153846,0.947368,0.24
0.973684,0.206704,0.894737,0.152466,0.947368,0.241611
0.973684,0.20442,0.894737,0.168317,0.947368,0.232258
0.973684,0.203297,0.894737,0.159624,0.973684,0.18408
0.973684,0.202186,0.894737,0.169154,0.973684,0.186869
0.973684,0.201087,0.894737,0.176166,0.973684,0.18593
0.973684,0.205556,0.894737,0.170854,0.973684,0.185
0.973684,0.198925,0.894737,0.19209,1.0,0.16309
0.973684,0.197861,0.894737,0.191011,1.0,0.162393
0.973684,0.196809,0.894737,0.189944,1.0,0.161702
0.973684,0.195767,0.894737,0.188889,1.0,0.157025
0.973684,0.194737,0.894737,0.187845,1.0,0.161017
0.973684,0.2,0.894737,0.186813,1.0,0.160338
0.973684,0.193717,0.894737,0.185792,1.0,0.159664
1.0,0.157025,0.894737,0.184783,1.0,0.158996
1.0,0.157676,0.894737,0.183784,1.0,0.158333
1.0,0.158333,0.894737,0.17,1.0,0.163793
1.0,0.158996,0.894737,0.182796,1.0,0.157676
1.0,0.160338,0.894737,0.180851,1.0,0.156379
1.0,0.161017,0.894737,0.179894,1.0,0.150794
1.0,0.161702,0.894737,0.178947,1.0,0.155102
1.0,0.156379,0.894737,0.17801,1.0,0.154472
1.0,0.159664,0.894737,0.177083,1.0,0.153846
1.0,0.155738,0.894737,0.175258,1.0,0.153226
1.0,0.151394,0.894737,0.174359,1.0,0.15261
1.0,0.154472,0.894737,0.173469,1.0,0.152
1.0,0.153846,0.894737,0.172589,1.0,0.151394
1.0,0.153226,0.894737,0.171717,1.0,0.150198
1.0,0.15261,0.894737,0.181818,1.0,0.149606
1.0,0.152,0.921053,0.152174,1.0,0.14902
1.0,0.162393,0.921053,0.153509,1.0,0.164502
1.0,0.150794,0.921053,0.152838,1.0,0.155738
