VGG16_RECALL(X),VGG16_PRECISION(Y),EffNetB0_RECALL(X),EffNetB0_PRECISION(Y),SwinT_RECALL(X),SwinT_PRECISION(Y)
0.952381,0.181818,0.904762,0.202128,1.0,0.181034
0.952381,0.183486,0.904762,0.204301,1.0,0.182609
0.952381,0.186916,0.904762,0.206522,1.0,0.184211
0.952381,0.188679,0.904762,0.19,1.0,0.185841
0.952381,0.185185,0.952381,0.181818,1.0,0.1875
1.0,0.189189,1.0,0.177966,1.0,0.194444
1.0,0.1875,1.0,0.179487,1.0,0.190909
1.0,0.185841,1.0,0.181034,1.0,0.192661
1.0,0.184211,1.0,0.189189,1.0,0.196262
1.0,0.182609,1.0,0.184211,1.0,0.198113
1.0,0.181034,1.0,0.185841,1.0,0.2
1.0,0.179487,1.0,0.1875,1.0,0.201923
1.0,0.177966,1.0,0.182609,1.0,0.189189
1.0,0.176471,1.0,0.176471,1.0,0.176471
