FPR(X),VGG16(Y),EffNetB0(Y),SwinT(Y)
0.0,0.190476,0.380952,0.380952
0.002004008016032064,0.21853230861880563,0.3856280514364676,0.3856280514364676
0.004008016032064128,0.24658861723761125,0.3903041028729352,0.3903041028729352
0.0060120240480961915,0.27464492585641687,0.3949801543094028,0.3949801543094028
0.008016032064128256,0.30270123447522246,0.3996562057458704,0.3996562057458704
0.01002004008016032,0.3307575430940281,0.404332257182338,0.404332257182338
0.012024048096192383,0.3375798086188056,0.4090083086188056,0.4090083086188056
0.014028056112224447,0.3422558600552732,0.4136843600552732,0.4136843600552732
0.01603206412825651,0.34693191149174085,0.4183604114917408,0.4183604114917408
0.018036072144288574,0.35160796292820845,0.4230364629282084,0.4230364629282084
0.02004008016032064,0.35628401436467605,0.427712514364676,0.427712514364676
0.022044088176352703,0.36096006580114365,0.4362061316022873,0.4323885658011436
0.024048096192384766,0.36563611723761125,0.44555823447522247,0.43706461723761125
0.026052104208416832,0.37031216867407885,0.45491033734815767,0.44174066867407885
0.028056112224448895,0.37498822011054644,0.46426244022109286,0.44641672011054645
0.03006012024048096,0.37966427154701404,0.4736145430940281,0.45109277154701405
0.03206412825651302,0.3832108819889878,0.4795783941383355,0.45576882298348165
0.03406813627254509,0.38632824961329953,0.48425454377198146,0.46044487441994925
0.03607214428857715,0.38944561723761123,0.4889306934056274,0.46512092585641684
0.038076152304609215,0.392562984861923,0.4936068430392734,0.4697969772928845
0.04008016032064128,0.39568035248623473,0.4982829926729193,0.4744730287293521
0.04208416833667334,0.3987977201105464,0.5029591423065652,0.48802644494476993
0.044088176352705406,0.4019150877348582,0.5076352919402113,0.506730847084997
0.04609218436873747,0.40503245535916993,0.5123114415738572,0.5254352492252242
0.04809619238476953,0.4081498229834816,0.5169875912075031,0.5441396513654513
0.0501002004008016,0.4112671906077934,0.5216637408411492,0.5628440535056785
0.052104208416833664,0.4143845582321051,0.5263397133912099,0.5739587133912099
0.05410821643286573,0.4175019258564169,0.5310155357105509,0.5786345357105509
0.05611222444889779,0.4206192934807286,0.5356913580298919,0.5833103580298918
0.058116232464929855,0.4237366611050403,0.5403671803492329,0.5879861803492329
0.06012024048096192,0.4268540287293521,0.545043002668574,0.5926620026685739
0.06212424849699398,0.4369726429794424,0.5497188249879149,0.597337824987915
0.06412825651302605,0.4556752122532178,0.554394647307256,0.6020136473072559
0.06613226452905811,0.47437778152699317,0.559070469626597,0.606689469626597
0.06813627254509018,0.49308035080076856,0.563746291945938,0.611365291945938
0.07014028056112225,0.511782920074544,0.568422114265279,0.6160411142652791
0.0721442885771543,0.5271480367263338,0.5747670367263338,0.6198825091815835
0.07414829659318636,0.536500139599269,0.584119139599269,0.6222205348998173
0.07615230460921843,0.5458522424722042,0.5934712424722043,0.6245585606180512
0.0781563126252505,0.5552043453451395,0.6028233453451395,0.6268965863362849
0.08016032064128256,0.5645564482180747,0.6121754482180748,0.6292346120545187
