FPR(X),VGG16(Y),EffNetB0(Y),SwinT(Y)
0.0,0.131579,0.105263,0.157895
0.002004008016032064,0.1430761604425332,0.1167601604425332,0.1808888839964647
0.004008016032064128,0.15457332088506642,0.12825732088506642,0.20388276799292937
0.0060120240480961915,0.1660704813275996,0.1397544813275996,0.24322761464459328
0.008016032064128256,0.17756764177013282,0.1512516417701328,0.2892158195261244
0.01002004008016032,0.1890646177696575,0.1724562221949895,0.33035040663799803
0.012024048096192383,0.20056134132358897,0.20694726663398735,0.3648418879655976
0.014028056112224447,0.2120577891563423,0.23990557831268464,0.394737
0.01603206412825651,0.2235524436789883,0.2628948873579766,0.394737
0.018036072144288574,0.23504709820163427,0.28588419640326856,0.394737
0.02004008016032064,0.25624573468454237,0.2927078328914205,0.40443868300826635
0.022044088176352703,0.2792400555696088,0.29654007407606436,0.4159356250064987
0.024048096192384766,0.289474,0.3003723152607082,0.42743256700473103
0.026052104208416832,0.289474,0.304204556445352,0.4389295090029634
0.028056112224448895,0.3017079202271995,0.3080367976299958,0.450426509112404
0.03006012024048096,0.34769612510873066,0.3118690388146397,0.4619236695549372
0.03206412825651302,0.3936843299902617,0.3157012799992835,0.47342082999747037
0.03406813627254509,0.3975453445500189,0.315789,0.4849179904400036
0.03607214428857715,0.4004194780150524,0.315789,0.4964151508825368
0.038076152304609215,0.4032936114800859,0.3316118978956277,0.50791231132507
0.04008016032064128,0.4061677449451194,0.35460371258768214,0.5194094717676032
0.04208416833667334,0.40904187841015294,0.3775955272797365,0.5309056316364201
0.044088176352705406,0.41191601187518645,0.4005873419717909,0.5424002861590661
0.04609218436873747,0.4147901453402199,0.42357938402245954,0.5564216000346015
0.04809619238476953,0.4176642788052534,0.44657326801892416,0.5909126444735994
0.0501002004008016,0.42053841227028693,0.4695671520153889,0.6254036889125973
0.052104208416833664,0.4304915777838651,0.47486380501668785,0.6410176973397416
0.05410821643286573,0.4419885925968644,0.4763009109095374,0.6525148577822748
0.05611222444889779,0.45348560740986366,0.477738016802387,0.657895
0.058116232464929855,0.46498262222286296,0.4791751226952365,0.657895
0.06012024048096192,0.47647963703586227,0.48061222858808605,0.657895
0.06212424849699398,0.4879766518488616,0.4820493344809356,0.657895
0.06412825651302605,0.4994736666618609,0.48348644037378513,0.657895
0.06613226452905811,0.510970820437474,0.4849235462666347,0.657895
0.06813627254509018,0.5224679808800072,0.48636065215948426,0.657895
0.07014028056112225,0.527590810567398,0.4877977580523338,0.657895
0.0721442885771543,0.5295069343529555,0.48923486394518334,0.657895
0.07414829659318636,0.531423058138513,0.49067196983803285,0.657895
0.07615230460921843,0.5333391819240705,0.4921090757308824,0.657895
0.0781563126252505,0.535255305709628,0.493546181623732,0.657895
0.08016032064128256,0.5371714294951856,0.4949832875165815,0.657895
0.08216432865731463,0.5390875532807431,0.49642039340943106,0.657895
0.08416833667334668,0.5410036770663006,0.4978574993022806,0.657895
0.08617234468937875,0.5429198008518581,0.49929460519513014,0.657895
0.08817635270541081,0.5448359246374157,0.5029269241111392,0.6600901054591402
0.09018036072144288,0.5467520484229732,0.5086755043324058,0.6644013685281018
0.09218436873747494,0.5486681722085307,0.5144240845536724,0.6687126315970634
0.09418837675350701,0.5505842959940882,0.5201726647749391,0.673023894666025
0.09619238476953906,0.5525004197796458,0.5259212449962056,0.6773351577349865
0.09819639278557113,0.552632,0.5316692416942878,0.6816464208039481
0.1002004008016032,0.552632,0.5374171953673014,0.6859576838729097
0.10220440881763526,0.552632,0.543165149040315,0.6902689469418712
0.10420841683366733,0.552632,0.5489131027133286,0.6945802100108329
0.1062124248496994,0.552632,0.5528574612552059,0.6988914730797945
0.10821643286573146,0.552632,0.5534961526482624,0.7032027361487561
0.11022044088176351,0.552632,0.5541348440413187,0.7075139992177176
0.11222444889779558,0.552632,0.5547735354343752,0.7118252622866792
