feature_index,feature,weight_w,abs_weight,scaler_mean,scaler_scale
0,oct0_feat,0.218440,0.218440,-2.285848,2.039088
1,oct1_feat,0.171048,0.171048,-2.231208,1.768293
2,octa3_feat,0.111640,0.111640,-1.598308,1.699115
intercept,intercept_b,-0.235999,,,
