epoch,train_acc_mean,train_acc_std,val_acc_mean,val_acc_std,train_bce_mean,train_bce_std,val_bce_mean,val_bce_std,val_auc_mean,val_auc_std
1,0.3495472947347159,0.03490951664593978,0.24808389184055457,0.20588114876095834,0.7705866868621175,0.014595304554155227,0.8130383689170284,0.08379242134554471,0.5826782561712209,0.04716720205543163
2,0.34150030404882176,0.0354719677229275,0.2804086725351273,0.16080373818238128,0.7504455945523067,0.010590579053728675,0.7855273424388475,0.07029965757103797,0.6469956544077322,0.04127450910304903
3,0.3925380872277765,0.05615644616367912,0.36259547579421303,0.16595165999218003,0.7320236979159702,0.022647743997264963,0.7529676006680391,0.06041282163030249,0.6676554291756741,0.04345091922485238
4,0.45450593238178927,0.06496778897246612,0.3950665951235258,0.16114941538294045,0.7082407898769925,0.022019545466763917,0.7556967281683991,0.06499781953951014,0.6799170875546904,0.05602329361306704
5,0.5440414547124441,0.07123231014115206,0.5176090044548938,0.16763777929376597,0.6795400473243018,0.023196067563026716,0.7124205269786634,0.06827033173839604,0.680273493858974,0.06468689471488323
6,0.565419253515876,0.07763701980562088,0.4823602247105697,0.25073900550531586,0.6684702896091256,0.029309745381354245,0.7317074527631877,0.1261700526243334,0.6767503511760473,0.07373638024728887
7,0.5930607802937067,0.06887325807608881,0.5277931799946916,0.15149519831956748,0.6595660573047597,0.032427121238957975,0.7077528825491392,0.07146679500775766,0.6956506364830529,0.06859663286246129
8,0.6279286772544985,0.0664489924359708,0.5398214919274,0.15543852348777598,0.638442363028253,0.03365245703084942,0.691345278853976,0.07764244314935945,0.6869695202374364,0.05013258503075956
9,0.6759178115481896,0.05855444955419548,0.6190726179347976,0.17335165994535157,0.6126149153271523,0.037372902358781504,0.6636171072036585,0.0980678989459857,0.6985721552381885,0.051492440210619224
10,0.6964740161047509,0.05376291310708991,0.5993986379909779,0.15147646134176018,0.5988073543769624,0.03577233813299934,0.6619580417699847,0.08480495073776065,0.7054305418974451,0.06818725122041856
11,0.6931010528205311,0.06728238645227118,0.6281424430180123,0.09563297431351914,0.5954790158999634,0.03923685304652843,0.6377403303346354,0.061149375968280954,0.7075543614730143,0.06192896400756291
12,0.7348941019372227,0.04126589480278661,0.660541593198146,0.11801467180199358,0.565875108244219,0.03448016192405347,0.6148611121893832,0.06070951194242552,0.7064819913179218,0.0443356946793269
13,0.7320345908594609,0.028127215299710715,0.6398076034540725,0.13756854222356102,0.5608528353726154,0.03158385831331019,0.6279133142616341,0.0787676736843828,0.7061355046171552,0.04317116142078002
14,0.7578786300810554,0.04251892952942859,0.6816577151277962,0.10812931333992529,0.5401619874756753,0.04208032339575087,0.595701756928159,0.06687807353200352,0.7096241539856807,0.04766402414906044
15,0.7726738733740127,0.05258985915354244,0.6574847925129965,0.1332697505646088,0.5213099530447703,0.04889498007786282,0.614782569404387,0.08469579212326418,0.709413392985225,0.04887938067690278
16,0.7504242383414412,0.04496653827618615,0.6904492661974445,0.10209764760173702,0.5313794312364999,0.03585508091555944,0.590949977625539,0.056286334667107724,0.7161369729811775,0.04538363244765112
17,0.7861809274723365,0.046561561455503615,0.6862070852188074,0.1010496493066898,0.5084507726468639,0.04100809233516756,0.5916765187530816,0.06440141158772811,0.7110697352692361,0.04439638783439129
18,0.7923514807824418,0.04536187557871862,0.7346860578159624,0.08346367467796416,0.4999399300769916,0.053803913082180674,0.5600093840592193,0.058074636963769626,0.7048506858929642,0.04503964137895865
19,0.8016245689508569,0.061528876965995065,0.7041173629543129,0.07582571526583252,0.4885505400753682,0.0637224041068896,0.5879237801239251,0.055235311918396264,0.7116798251136236,0.05134504110199324
20,0.8096542891272197,0.05145962126236931,0.7506246881397146,0.05145103019115789,0.473900674377467,0.06009038054237622,0.5469220374776406,0.03610246001704549,0.7163550227674531,0.054874797176306854
21,0.8266601027891773,0.041777565026861106,0.749448883431938,0.03764888534107328,0.4657838559135722,0.04776821006853681,0.5519515639145688,0.03715454432919207,0.7124996882226755,0.05351503903126213
22,0.8160413039376504,0.04477786347781647,0.7761624703016547,0.05036202189090091,0.4634588617156422,0.0469075310533856,0.5300078478666961,0.048255699261053046,0.7137127502507792,0.0573957812777767
23,0.829490960697844,0.05182816301548055,0.7678409086278432,0.05737380266271301,0.44919055963763244,0.0594450463586679,0.5249433639071022,0.049850659092471536,0.7159121051499281,0.05738576130194019
24,0.8335037478879098,0.038636470956014766,0.7665429011934742,0.05323172360431837,0.4561101233756327,0.044834839611430324,0.5277991845981683,0.041451225017118586,0.7123626349104364,0.052505170963178235
25,0.8450788608371804,0.042935542923204714,0.7463979097791391,0.055748067428042995,0.43540979996670776,0.051390270232028044,0.5388414689131518,0.04671764820390168,0.7118700135335441,0.05371674655339108
26,0.8275514319389806,0.0520315429030377,0.7525809274288646,0.05226189198613167,0.4419904409165884,0.061764996659882575,0.5347117875705376,0.05094627996619246,0.7081574445730563,0.048826467392378246
27,0.8291178408411838,0.04771543551900019,0.7559192909545654,0.03665720127643316,0.44727506135912815,0.0540265522069179,0.5319387817213025,0.03637897179441406,0.7093018717053763,0.04843465410482134
28,0.8328400747964597,0.04494269923631684,0.7726126573128755,0.04958458542000714,0.43679889802698524,0.05201175461182478,0.5219652301727834,0.043178717511212286,0.7118005444919578,0.04937065936800756
29,0.8422369731783924,0.03775259667157083,0.7532827199749186,0.04199315872852884,0.4246716278895682,0.05243577466239334,0.5332668912138667,0.040046475288259754,0.7147631916707351,0.048981561098271266
30,0.8366784002215691,0.05781040773946289,0.7636535695030566,0.047407774094511114,0.43605355638130366,0.06944489952700661,0.5271348461178444,0.04217413791494957,0.7126721317821019,0.04881477596185062
31,0.8463114012912095,0.042334312398657474,0.7551500064413302,0.043989666873226356,0.4286525054827135,0.05294687305764912,0.5275753655157474,0.04276739786796681,0.7122400644807645,0.048553973974346784
32,0.8538968403744231,0.04868958042682227,0.7667535059108667,0.04055677770873314,0.41591085054984134,0.06387496269087695,0.5219224171716574,0.0355779268521777,0.7154320077516345,0.050108365147526895
33,0.8435409568423688,0.043608496270850276,0.7552332530186333,0.04697430132421703,0.4260622767215841,0.06027777721141955,0.5274364575648948,0.042465209236416855,0.7149244837933657,0.04699125352992379
