feature_index,feature,weight_w,abs_weight,scaler_mean,scaler_scale
0,oct0_feat,0.195600,0.195600,-1.256156,2.018738
1,oct1_feat,0.180924,0.180924,-2.231208,1.768293
2,octa3_feat,0.107236,0.107236,-1.291775,1.531887
intercept,intercept_b,-0.211239,,,
