epoch,lr_max,lr_min,train_focal_loss,train_bce,train_acc,val_bce,val_acc,val_auc
1,6.989512301786183e-06,6.989512301786183e-06,0.7859394948387987,2.394964258261189,0.505726872246696,1.264594673625822,0.6666666666666666,0.45879629629629626
2,6.957512741267394e-06,6.957512741267394e-06,0.5800380646919889,2.150738281930596,0.5480176211453744,4.454254404316104,0.6707317073170732,0.4703703703703704
3,6.904196464959034e-06,6.904196464959034e-06,0.5156042321794359,2.0523784918932138,0.5585903083700441,1.237266023529739,0.6626016260162602,0.4682098765432099
4,6.8298921854340065e-06,6.8298921854340065e-06,0.46882774895508383,1.988406036918909,0.5903083700440529,1.3028559495763081,0.6544715447154471,0.5029320987654321
5,6.735058013284261e-06,6.735058013284261e-06,0.40278064403765,1.8253027453821662,0.5964757709251102,1.7762247207688122,0.6097560975609756,0.508641975308642
6,6.6202786327166665e-06,6.6202786327166665e-06,0.4804711453189934,1.7747700880277524,0.5885462555066079,1.4386378228664398,0.6260162601626016,0.4996913580246914
7,6.4862616967804375e-06,6.4862616967804375e-06,0.3753077506493892,1.658806900305895,0.6193832599118942,2.2262935798342633,0.6341463414634146,0.5108024691358024
8,6.333833464450774e-06,6.333833464450774e-06,0.3812469523449301,1.5629583913849314,0.641409691629956,1.3985301236796186,0.6178861788617886,0.5035493827160494
9,6.163933706467519e-06,6.163933706467519e-06,0.35060331122990746,1.5354061429721144,0.639647577092511,1.4246847787039068,0.6341463414634146,0.5276234567901235
10,5.977609911336042e-06,5.977609911336042e-06,0.3207380994432298,1.4951785867434766,0.66784140969163,1.360643578738701,0.6382113821138211,0.5339506172839507
11,5.776010827212279e-06,5.776010827212279e-06,0.30497588318350033,1.259691518939014,0.6889867841409691,7.262377123037974,0.6260162601626016,0.528858024691358
12,5.560379379488351e-06,5.560379379488351e-06,0.3755293565699708,1.3804687209066315,0.66784140969163,1.2449003511328038,0.6829268292682927,0.541358024691358
13,5.332045007744207e-06,5.332045007744207e-06,0.2811390158888527,1.2442462964204966,0.6916299559471366,2.306380144464291,0.6097560975609756,0.5121913580246913
14,5.092415469310534e-06,5.092415469310534e-06,0.2927505656486041,1.149423785356698,0.7110132158590309,1.2448001804390574,0.6666666666666666,0.5216049382716049
15,4.842968159976685e-06,4.842968159976685e-06,0.35704595413764667,1.1474593133128161,0.7180616740088106,5.554390015640879,0.6300813008130082,0.5132716049382716
16,4.585241005354349e-06,4.585241005354349e-06,0.31120578885603584,1.1752222188243782,0.7066079295154185,2.4893882914287286,0.6910569105691057,0.5320987654320988
17,4.320822979054748e-06,4.320822979054748e-06,0.29541133941532755,1.138662931887589,0.7198237885462555,1.5136384755615298,0.6382113821138211,0.5092592592592593
18,4.051344306137935e-06,4.051344306137935e-06,0.29263194245388857,1.0414707484224295,0.7162995594713656,1.5302801689481347,0.6260162601626016,0.5270061728395061
19,3.778466412233198e-06,3.778466412233198e-06,0.25418184097642943,1.0241327233776647,0.7348017621145374,1.9219437459620035,0.6585365853658537,0.5189814814814815
20,3.503871680297562e-06,3.503871680297562e-06,0.28948508350610413,1.069004190624548,0.7480176211453744,1.4025552389098377,0.6626016260162602,0.537962962962963
21,3.2292530781654293e-06,3.2292530781654293e-06,0.21919236082074925,0.9767042485627834,0.7365638766519824,1.9525663833308027,0.6219512195121951,0.5165123456790124
22,2.9563037208388924e-06,2.9563037208388924e-06,0.23670496298287408,0.978601994861065,0.7374449339207049,3.2271443513350757,0.6260162601626016,0.5271604938271605
23,2.6867064318707445e-06,2.6867064318707445e-06,0.23766482378907977,0.9540963949611009,0.7462555066079295,1.4049034758311947,0.6422764227642277,0.5385802469135802
