Recall(X),VGG16(Y),EffNetB0(Y),SwinT(Y)
0.0,0.372093,1.0,1.0
0.002004008016032064,0.372093,0.9719438456913407,1.0
0.004008016032064128,0.372093,0.9438876913826814,1.0
0.0060120240480961915,0.372093,0.9158315370740221,1.0
0.008016032064128256,0.372093,0.8877753827653627,1.0
0.01002004008016032,0.372093,0.8597192284567035,1.0
0.012024048096192383,0.372093,0.8316630741480441,1.0
0.014028056112224447,0.372093,0.8036069198393848,1.0
0.01603206412825651,0.372093,0.7755507655307254,1.0
0.018036072144288574,0.372093,0.7474946112220662,1.0
0.02004008016032064,0.372093,0.7194384569134068,1.0
0.022044088176352703,0.372093,0.6913823026047475,1.0
0.024048096192384766,0.372093,0.6633261482960882,1.0
0.026052104208416832,0.372093,0.6352699939874289,1.0
0.028056112224448895,0.372093,0.6072138396787696,1.0
0.03006012024048096,0.372093,0.5791576853701103,1.0
0.03206412825651302,0.372093,0.5511015310614509,1.0
0.03406813627254509,0.372093,0.5230453767527916,1.0
0.03607214428857715,0.372093,0.49498922244413235,1.0
0.038076152304609215,0.372093,0.466933068135473,1.0
0.04008016032064128,0.372093,0.4388769138268136,1.0
0.04208416833667334,0.372093,0.41082075951815433,1.0
0.044088176352705406,0.372093,0.38276460520949507,1.0
0.04609218436873747,0.372093,0.3547084509008357,1.0
0.04809619238476953,0.372093,0.333333,1.0
0.0501002004008016,0.372093,0.333333,1.0
0.052104208416833664,0.372093,0.333333,1.0
0.05410821643286573,0.372093,0.333333,1.0
0.05611222444889779,0.372093,0.333333,1.0
0.058116232464929855,0.372093,0.333333,1.0
0.06012024048096192,0.372093,0.333333,1.0
0.06212424849699398,0.372093,0.333333,1.0
0.06412825651302605,0.372093,0.333333,1.0
0.06613226452905811,0.372093,0.333333,1.0
0.06813627254509018,0.372093,0.333333,1.0
0.07014028056112225,0.372093,0.333333,1.0
0.0721442885771543,0.372093,0.333333,1.0
0.07414829659318636,0.372093,0.333333,1.0
0.07615230460921843,0.372093,0.333333,1.0
0.0781563126252505,0.372093,0.333333,1.0
0.08016032064128256,0.372093,0.333333,1.0
0.08216432865731463,0.372093,0.333333,1.0
0.08416833667334668,0.372093,0.333333,1.0
0.08617234468937875,0.372093,0.333333,1.0
0.08817635270541081,0.372093,0.333333,1.0
0.09018036072144288,0.372093,0.333333,1.0
0.09218436873747494,0.372093,0.333333,1.0
0.09418837675350701,0.372093,0.333333,1.0
0.09619238476953906,0.372093,0.3330293421398331,1.0
0.09819639278557113,0.372093,0.3323917242677463,1.0
0.1002004008016032,0.372093,0.3317541063956595,1.0
0.10220440881763526,0.372093,0.33111648852357267,1.0
0.10420841683366733,0.372093,0.3304788706514859,1.0
0.1062124248496994,0.372093,0.3298412527793991,1.0
0.10821643286573146,0.372093,0.32920363490731225,1.0
0.11022044088176351,0.372093,0.3285660170352255,1.0
0.11222444889779558,0.372093,0.32792839916313865,1.0
0.11422845691382764,0.372093,0.3272907812910518,1.0
0.11623246492985971,0.372093,0.32665316341896505,1.0
0.11823647294589178,0.372093,0.3260155455468782,1.0
0.12024048096192384,0.372093,0.3253779276747914,1.0
0.1222444889779559,0.372093,0.32474030980270463,1.0
0.12424849699398796,0.372093,0.3241026919306178,1.0
0.12625250501002003,0.372093,0.323465074058531,1.0
0.1282565130260521,0.372093,0.3228274561864442,1.0
