Recall(X),VGG16(Y),EffNetB0(Y),SwinT(Y)
0.0,1.0,1.0,1.0
0.002004008016032064,1.0,1.0,1.0
0.004008016032064128,1.0,1.0,1.0
0.0060120240480961915,1.0,1.0,1.0
0.008016032064128256,1.0,1.0,1.0
0.01002004008016032,1.0,1.0,1.0
0.012024048096192383,1.0,1.0,1.0
0.014028056112224447,1.0,1.0,1.0
0.01603206412825651,1.0,1.0,1.0
0.018036072144288574,1.0,1.0,1.0
0.02004008016032064,1.0,1.0,1.0
0.022044088176352703,1.0,1.0,1.0
0.024048096192384766,1.0,1.0,1.0
0.026052104208416832,1.0,1.0,1.0
0.028056112224448895,1.0,1.0,1.0
0.03006012024048096,1.0,1.0,1.0
0.03206412825651302,1.0,1.0,1.0
0.03406813627254509,1.0,1.0,1.0
0.03607214428857715,1.0,1.0,1.0
0.038076152304609215,1.0,1.0,1.0
0.04008016032064128,1.0,1.0,1.0
0.04208416833667334,1.0,1.0,1.0
0.044088176352705406,1.0,1.0,1.0
0.04609218436873747,1.0,1.0,1.0
0.04809619238476953,1.0,1.0,1.0
0.0501002004008016,1.0,1.0,1.0
0.052104208416833664,1.0,1.0,1.0
0.05410821643286573,1.0,1.0,1.0
0.05611222444889779,1.0,1.0,1.0
0.058116232464929855,1.0,1.0,1.0
0.06012024048096192,1.0,1.0,1.0
0.06212424849699398,1.0,1.0,1.0
0.06412825651302605,1.0,1.0,1.0
0.06613226452905811,1.0,1.0,1.0
0.06813627254509018,1.0,1.0,1.0
0.07014028056112225,1.0,1.0,1.0
0.0721442885771543,1.0,1.0,1.0
0.07414829659318636,1.0,1.0,1.0
0.07615230460921843,1.0,1.0,1.0
0.0781563126252505,1.0,1.0,1.0
0.08016032064128256,1.0,0.9874256992500734,1.0
0.08216432865731463,1.0,0.9666570758199025,1.0
0.08416833667334668,1.0,0.9458884523897317,1.0
0.08617234468937875,1.0,0.9251198289595608,1.0
0.08817635270541081,1.0,0.9043512055293899,1.0
0.09018036072144288,1.0,0.883582582099219,1.0
0.09218436873747494,1.0,0.8628139586690481,1.0
0.09418837675350701,1.0,0.8420453352388773,1.0
0.09619238476953906,1.0,0.8212767118087064,1.0
0.09819639278557113,1.0,0.8005080883785355,1.0
0.1002004008016032,1.0,0.7797394649483647,1.0
0.10220440881763526,1.0,0.7589708415181937,1.0
0.10420841683366733,1.0,0.7382022180880228,1.0
0.1062124248496994,0.9909805360835671,0.727273,1.0
0.10821643286573146,0.9719426122346532,0.727273,1.0
0.11022044088176351,0.9529046883857395,0.727273,1.0
0.11222444889779558,0.9338667645368257,0.727273,1.0
0.11422845691382764,0.9148288406879118,0.727273,1.0
0.11623246492985971,0.895790916838998,0.727273,1.0
0.11823647294589178,0.8767529929900841,0.727273,1.0
0.12024048096192384,0.8577150691411703,0.727273,1.0
0.1222444889779559,0.8386771452922567,0.727273,1.0
0.12424849699398796,0.8196392214433428,0.727273,1.0
0.12625250501002003,0.800601297594429,0.727273,1.0
0.1282565130260521,0.7815633737455151,0.727273,1.0
0.13026052104208416,0.7625254498966013,0.727273,1.0
0.13226452905811623,0.75,0.727273,1.0
0.1342685370741483,0.75,0.727273,1.0
0.13627254509018036,0.75,0.727273,1.0
0.13827655310621242,0.75,0.727273,1.0
0.1402805611222445,0.75,0.727273,1.0
0.14228456913827653,0.75,0.727273,1.0
0.1442885771543086,0.75,0.727273,1.0
0.14629258517034066,0.75,0.727273,1.0
0.14829659318637273,0.75,0.727273,1.0
0.1503006012024048,0.75,0.727273,1.0
0.15230460921843686,0.75,0.727273,1.0
0.15430861723446893,0.75,0.727273,1.0
0.156312625250501,0.75,0.727273,1.0
0.15831663326653306,0.7491989032023616,0.727273,0.997997258005904
0.16032064128256512,0.7453913184325788,0.727273,0.988478296081447
0.1623246492985972,0.7415837336627961,0.727273,0.9789593341569901
0.16432865731462926,0.7377761488930132,0.727273,0.9694403722325332
0.16633266533066132,0.7339685641232305,0.727273,0.9599214103080763
0.16833667334669336,0.7301609793534478,0.727273,0.9504024483836195
0.17034068136272543,0.726353394583665,0.727273,0.9408834864591626
0.1723446893787575,0.7225458098138823,0.727273,0.9313645245347056
0.17434869739478956,0.7187382250440995,0.727273,0.9218455626102487
0.17635270541082163,0.7149306402743167,0.727273,0.9123266006857919
0.1783567134268537,0.7111230555045339,0.727273,0.902807638761335
0.18036072144288576,0.7073154707347512,0.727273,0.893288676836878
0.18236472945891782,0.7035078859649684,0.727273,0.8837697149124211
0.1843687374749499,0.6999250724515723,0.727273,0.8748270911950445
0.18637274549098196,0.6989731400859861,0.727273,0.8726303359136285
0.18837675350701402,0.6980212077203999,0.727273,0.8704335806322125
0.1903807615230461,0.6970692753548138,0.727273,0.8682368253507966
0.19238476953907813,0.6961173429892276,0.727273,0.8660400700693807
0.1943887775551102,0.6951654106236413,0.727273,0.8638433147879647
0.19639278557114226,0.6942134782580551,0.727273,0.8616465595065488
0.19839679358717432,0.6932615458924689,0.727273,0.8594498042251327
0.2004008016032064,0.6923096135268828,0.727273,0.8572530489437168
0.20240480961923846,0.6913576811612966,0.727273,0.8550562936623008
0.20440881763527052,0.6904057487957104,0.727273,0.8528595383808849
0.2064128256513026,0.6894538164301242,0.727273,0.850662783099469
0.20841683366733466,0.6885018840645379,0.727273,0.8484660278180529
0.21042084168336672,0.6875499516989517,0.727273,0.846269272536637
0.2124248496993988,0.6875,0.7263359137769382,0.846154
0.21442885771543085,0.6875,0.7253469317088349,0.846154
0.21643286573146292,0.6875,0.7243579496407315,0.846154
0.21843687374749496,0.6875,0.7233689675726281,0.846154
0.22044088176352702,0.6875,0.7223799855045248,0.846154
0.2224448897795591,0.6875,0.7213910034364214,0.846154
0.22444889779559116,0.6875,0.720402021368318,0.846154
0.22645290581162322,0.6875,0.7194130393002146,0.846154
0.2284569138276553,0.6875,0.7184240572321112,0.846154
0.23046092184368736,0.6875,0.7174350751640078,0.846154
0.23246492985971942,0.6875,0.7164460930959045,0.846154
0.2344689378757515,0.6875,0.7154571110278012,0.846154
0.23647294589178355,0.6875,0.7144681289596978,0.846154
0.23847695390781562,0.6875,0.714286,0.846154
0.24048096192384769,0.6875,0.714286,0.846154
0.24248496993987975,0.6875,0.714286,0.846154
0.2444889779559118,0.6875,0.714286,0.846154
0.24649298597194386,0.6875,0.714286,0.846154
0.24849699398797592,0.6875,0.714286,0.846154
0.250501002004008,0.6875,0.714286,0.846154
0.25250501002004005,0.6875,0.714286,0.846154
0.2545090180360721,0.6875,0.714286,0.846154
0.2565130260521042,0.6875,0.714286,0.846154
0.25851703406813625,0.6875,0.714286,0.846154
0.2605210420841683,0.6875,0.714286,0.846154
0.2625250501002004,0.6875,0.714286,0.846154
0.26452905811623245,0.6875,0.7128904549817069,0.846154
0.2665330661322645,0.6875,0.7108506556688388,0.846154
0.2685370741482966,0.6875,0.7088108563559707,0.846154
0.27054108216432865,0.6875,0.7067710570431027,0.846154
0.2725450901803607,0.6875,0.7047312577302347,0.846154
0.2745490981963928,0.6875,0.7026914584173667,0.846154
0.27655310621242485,0.6875,0.7006516591044987,0.846154
0.2785571142284569,0.6875,0.6986118597916307,0.846154
0.280561122244489,0.6875,0.6965720604787626,0.846154
0.282565130260521,0.6875,0.6945322611658947,0.846154
0.28456913827655306,0.6875,0.6924924618530267,0.846154
0.2865731462925851,0.6875,0.6904526625401587,0.846154
0.2885771543086172,0.6875,0.6884128632272907,0.846154
0.29058116232464926,0.6866234842215688,0.6851472116907957,0.8456145765470519
0.2925851703406813,0.6850369556637882,0.68088857090552,0.8446381985583175
0.2945891783567134,0.6834504271060076,0.6766299301202444,0.843661820569583
0.29659318637274545,0.681863898548227,0.6723712893349687,0.8426854425808485
0.2985971943887775,0.6802773699904464,0.668112648549693,0.8417090645921141
0.3006012024048096,0.6786908414326659,0.6638540077644174,0.8407326866033796
0.30260521042084165,0.6771043128748853,0.6595953669791417,0.8397563086146452
0.3046092184368737,0.6755177843171047,0.6553367261938661,0.8387799306259107
0.3066132264529058,0.6739312557593241,0.6510780854085904,0.8378035526371763
0.30861723446893785,0.6723447272015435,0.6468194446233146,0.8368271746484418
0.3106212424849699,0.670758198643763,0.642560803838039,0.8358507966597074
0.312625250501002,0.6691716700859823,0.6383021630527633,0.8348744186709729
0.31462925851703405,0.6675851415282018,0.6340435222674877,0.8338980406822385
0.3166332665330661,0.666667,0.6311769820669612,0.833333
0.3186372745490982,0.666667,0.6302227251719581,0.833333
0.32064128256513025,0.666667,0.6292684682769552,0.833333
0.3226452905811623,0.666667,0.6283142113819522,0.833333
0.3246492985971944,0.666667,0.6273599544869493,0.833333
