feature_index,feature,weight_w,abs_weight,scaler_mean,scaler_scale
0,oct0_feat,0.221858,0.221858,-2.286152,2.068048
1,oct1_feat,0.185387,0.185387,-2.381288,1.910862
2,octa3_feat,0.097755,0.097755,-1.519554,1.455288
intercept,intercept_b,-0.248912,,,
