epoch,train_loss_mean,train_loss_sd,val_loss_mean,val_loss_sd,train_acc_mean,train_acc_sd,val_acc_mean,val_acc_sd
1,0.045571,0.001671,0.836339,0.072317,0.329351,0.026663,0.176004,0.103692
2,0.039825,0.002029,0.779995,0.088939,0.455334,0.074133,0.360815,0.117724
3,0.035636,0.002143,0.769961,0.1156,0.573855,0.049574,0.447833,0.164652
4,0.032484,0.001792,0.695296,0.0693,0.666043,0.031831,0.546613,0.134705
5,0.031207,0.001397,0.712263,0.118364,0.707414,0.013987,0.528449,0.153193
6,0.028375,0.001931,0.6435,0.115209,0.735055,0.021698,0.630923,0.162324
7,0.025754,0.002773,0.621466,0.127397,0.782323,0.030912,0.658175,0.161114
8,0.024998,0.001113,0.587965,0.156409,0.793402,0.021272,0.689701,0.15065
9,0.024333,0.002206,0.60544,0.183761,0.812819,0.01739,0.68711,0.192218
10,0.021175,0.001135,0.602726,0.209341,0.84175,0.01523,0.679045,0.202346
11,0.021362,0.002977,0.477768,0.107718,0.847741,0.012044,0.784407,0.088871
12,0.020688,0.0016,0.474791,0.090167,0.854005,0.022196,0.780611,0.066709
13,0.019194,0.00218,0.471962,0.12689,0.859303,0.011905,0.780292,0.081711
14,0.016413,0.001434,0.46232,0.118181,0.887984,0.015004,0.78139,0.082433
15,0.017541,0.002324,0.483667,0.128997,0.889032,0.012394,0.764184,0.086241
16,0.015819,0.002245,0.433027,0.114835,0.890628,0.008923,0.810072,0.083374
17,0.016163,0.002709,0.434814,0.114056,0.893757,0.01414,0.798875,0.078531
18,0.014728,0.002998,0.427136,0.099071,0.902819,0.021106,0.803837,0.083326
19,0.014825,0.002843,0.391444,0.074247,0.910227,0.021513,0.823086,0.0704
20,0.012726,0.002087,0.41887,0.101948,0.913959,0.014604,0.809066,0.077445
21,0.012227,0.001547,0.412564,0.105377,0.918271,0.010445,0.810913,0.070766
22,0.012438,0.0019,0.380897,0.096687,0.913935,0.014002,0.833605,0.074948
23,0.012596,0.002133,0.383469,0.071407,0.920181,0.014058,0.83082,0.063485
24,0.011712,0.000477,0.374799,0.065624,0.9282,0.010304,0.830463,0.057154
25,0.012798,0.001842,0.419378,0.11304,0.920489,0.010681,0.812422,0.081366
26,0.010658,0.001418,0.413355,0.063725,0.92544,0.007024,0.806399,0.05335
27,0.01194,0.001494,0.392286,0.102312,0.920289,0.016648,0.833017,0.0696
28,0.010896,0.0012,0.401391,0.102433,0.927865,0.00573,0.823802,0.074126
29,0.010721,0.001861,0.378286,0.076802,0.929546,0.006682,0.83051,0.061674
30,0.010937,0.001047,0.37557,0.0789,0.933921,0.012868,0.831029,0.068833
31,0.011174,0.002017,0.381307,0.081336,0.933808,0.012164,0.82694,0.070627
32,0.011401,0.001223,0.384751,0.088838,0.927673,0.009177,0.825665,0.072888
33,0.009708,0.001641,0.385206,0.07539,0.934497,0.012198,0.823832,0.062203
34,0.011274,0.001219,0.382187,0.08471,0.932828,0.009029,0.827526,0.070747
35,0.012421,0.000182,0.376753,0.080015,0.919672,0.012968,0.828672,0.066522
36,0.010498,0.000847,0.377553,0.084595,0.936192,0.011464,0.828713,0.071218
37,0.009862,0.001601,0.385581,0.088241,0.940241,0.010821,0.825686,0.07174
38,0.010339,0.001508,0.384761,0.089261,0.92992,0.006474,0.825081,0.069838
39,0.01007,0.001457,0.383641,0.088667,0.937175,0.0094,0.824085,0.071298
40,0.010932,0.004034,0.372642,0.105227,0.934215,0.01531,0.836958,0.081431
41,0.009747,0.001823,0.374591,0.063641,0.93909,0.011049,0.849545,0.063306
42,0.013484,0.006138,0.385655,0.070867,0.93156,0.004584,0.825438,0.068654
43,0.009711,0.002746,0.425686,0.147429,0.940835,0.002682,0.821575,0.091363
44,0.011554,0.001802,0.394009,0.037495,0.937307,0.000196,0.831171,0.026053
45,0.008945,0.000862,0.371628,0.093051,0.94879,0.002338,0.845561,0.06894
46,0.009519,0.000841,0.404073,0.11264,0.944367,0.002671,0.829503,0.074403
47,0.009119,0.001276,0.355471,0.0849,0.951425,0.006395,0.859667,0.071986
48,0.008478,0.001205,0.345543,0.069524,0.959826,0.001748,0.871498,0.038009
49,0.007746,0.001287,0.39594,0.143118,0.954066,0.011382,0.843771,0.100215
50,0.006897,0.001267,0.357487,0.083448,0.955871,0.013599,0.859667,0.071986
51,0.007645,0.001524,0.350391,0.091397,0.959834,0.006743,0.8717,0.066467
52,0.006498,0.000545,0.353011,0.100985,0.965578,0.009883,0.8717,0.066467
53,0.005551,0.002218,0.365989,0.084148,0.973522,0.00741,0.859505,0.04922
54,0.006133,0.001336,0.355389,0.079174,0.966454,0.00489,0.869627,0.057901
55,0.004957,0.000415,0.349561,0.083616,0.974399,0.003666,0.873692,0.063649
56,0.00624,0.001495,0.356528,0.074573,0.965561,0.001356,0.869546,0.046517
57,0.006219,0.000776,0.354643,0.090297,0.966896,0.005516,0.889669,0.046804
58,0.005891,0.001477,0.350516,0.085041,0.968646,0.004469,0.883733,0.060947
59,0.005285,,0.30589,,0.968282,,0.906504,
60,0.004554,,0.299343,,0.970925,,0.914634,
61,0.004376,,0.305097,,0.978855,,0.910569,
62,0.003388,,0.299998,,0.978855,,0.914634,
