row_type,C,fold,auc
per_fold,0.001,1,0.878432
per_fold,0.001,2,0.892735
per_fold,0.001,3,0.889302
per_fold,0.001,4,0.945873
per_fold,0.001,5,0.813995
per_fold,0.01,1,0.874714
per_fold,0.01,2,0.893879
per_fold,0.01,3,0.893021
per_fold,0.01,4,0.945873
per_fold,0.01,5,0.811304
per_fold,0.1,1,0.867277
per_fold,0.1,2,0.890446
per_fold,0.1,3,0.897025
per_fold,0.1,4,0.947667
per_fold,0.1,5,0.809809
per_fold,1.0,1,0.863558
per_fold,1.0,2,0.891018
per_fold,1.0,3,0.897883
per_fold,1.0,4,0.946471
per_fold,1.0,5,0.808612
per_fold,10.0,1,0.862986
per_fold,10.0,2,0.891018
per_fold,10.0,3,0.898169
per_fold,10.0,4,0.946471
per_fold,10.0,5,0.808911
summary,0.001,BEST,0.884068±0.042105
summary,0.01,,0.883758±0.043308
summary,0.1,,0.882445±0.044803
summary,1.0,,0.881509±0.045199
summary,10.0,,0.881511±0.045170
