feature_index,feature,weight_w,abs_weight,scaler_mean,scaler_scale
0,oct0_feat,0.171481,0.171481,-1.697377,1.848387
1,oct1_feat,0.101520,0.101520,-1.249449,1.512373
2,octa3_feat,0.107876,0.107876,-0.769157,1.348013
intercept,intercept_b,-0.119114,,,
