feature_index,feature,weight_w,abs_weight,scaler_mean,scaler_scale
0,oct0_feat,0.511085,0.511085,-1.470624,1.741924
1,oct1_feat,0.587381,0.587381,-1.430009,1.775477
2,octa3_feat,0.525435,0.525435,-1.443609,1.931847
intercept,intercept_b,-0.519498,,,
