epoch,lr_max,lr_min,train_focal_loss,train_bce,train_acc,val_bce,val_acc,val_auc,fold
1,9.98504996976372e-06,9.98504996976372e-07,0.0473866373010688,0.7481229110020611,0.4130643611911623,0.903405140427982,0.1294117647058823,0.7374464975467168,1
2,9.939368988999544e-06,9.939368988999544e-07,0.0439723538562268,0.7450626553765406,0.4197886647454371,0.7575994260170881,0.4352941176470588,0.6972544106900511,1
3,9.86323515591132e-06,9.86323515591132e-07,0.0379391482813815,0.6923569318884044,0.5187319884726225,0.6965705086203182,0.5735294117647058,0.7095730243240422,1
4,9.757117860897108e-06,9.757117860897108e-07,0.0376030737453647,0.6674213600662554,0.5821325648414986,0.7353046073633082,0.5058823529411764,0.6926610293350037,1
5,9.621671352368253e-06,9.621671352368253e-07,0.0349347759941798,0.6475351916037421,0.6195965417867435,0.7118096043081844,0.5470588235294118,0.7123916901555486,1
6,9.457730703090368e-06,9.457730703090368e-07,0.0329370408817252,0.6129438921193683,0.6570605187319885,0.7273936832652372,0.5117647058823529,0.7070675435849254,1
7,9.26630666168205e-06,9.266306661682052e-07,0.0304947897843751,0.5797258050938734,0.7041306436119116,0.6826455705306109,0.5970588235294118,0.7368201273619375,1
8,9.048579421013536e-06,9.048579421013536e-07,0.0287411913712304,0.5707939430341253,0.7146974063400576,0.6364450019948623,0.6764705882352942,0.6970456206284581,1
9,8.805891341925198e-06,8.8058913419252e-07,0.0267876327524496,0.5371117061657131,0.7415946205571565,0.6270879177486195,0.6676470588235294,0.6908863138114625,1
10,8.539738677126596e-06,8.539738677126597e-07,0.0252041197725232,0.5150903653457232,0.7713736791546589,0.607085901148179,0.6911764705882353,0.6938093746737655,1
11,8.251762346300954e-06,8.251762346300956e-07,0.0247623736430657,0.5049065431073579,0.7915465898174832,0.5289364681524389,0.7617647058823529,0.7098862094164318,1
12,7.943737819289658e-06,7.94373781928966e-07,0.0238193437899037,0.4993970194020944,0.7694524495677233,0.5551940788240993,0.7294117647058823,0.6993423113059818,1
13,7.617564169730283e-06,7.617564169730283e-07,0.0236431723064675,0.4765077183500834,0.8049951969260326,0.5741590198348551,0.6970588235294117,0.7136444305251071,1
14,7.275252366636106e-06,7.275252366636107e-07,0.0212235605159879,0.4557603123552174,0.8011527377521613,0.493360460505766,0.7794117647058824,0.7223092180812193,1
15,6.918912876103431e-06,6.918912876103431e-07,0.0200760426871142,0.4218248942800718,0.8482228626320846,0.4705601117190193,0.8,0.7307652155757386,1
16,6.550742649586293e-06,6.550742649586294e-07,0.0185550507949799,0.4102020700543575,0.8482228626320846,0.5530115344945122,0.7176470588235294,0.7442321745484917,1
17,6.173011578960199e-06,6.173011578960199e-07,0.018229842053567,0.4063632254355464,0.8645533141210374,0.5302141133476707,0.7264705882352941,0.7319135609145004,1
18,5.788048501883881e-06,5.788048501883883e-07,0.015503200975235,0.381988039850387,0.8683957732949087,0.450966209523818,0.7970588235294118,0.7280509447750287,1
19,5.398226843740732e-06,5.398226843740732e-07,0.0167789076455832,0.379060010244134,0.8626320845341018,0.4984204818220699,0.7441176470588236,0.7280509447750287,1
20,5.005949984682056e-06,5.005949984682056e-07,0.0163932602412418,0.3653996535840799,0.8703170028818443,0.4518741625196793,0.7911764705882353,0.7269025994362669,1
21,4.613636441989245e-06,4.613636441989246e-07,0.0177621401818003,0.3784408229228742,0.8539865513928915,0.441330233742209,0.8117647058823529,0.7356717820231757,1
22,4.223704959110493e-06,4.223704959110493e-07,0.0153832645660455,0.3568934063632023,0.8799231508165226,0.4614171566332087,0.7941176470588235,0.7361937571771584,1
23,3.838559593303118e-06,3.838559593303119e-07,0.016401582287836,0.3579693704013293,0.8808837656099904,0.4828922001754536,0.7647058823529411,0.7381772627622925,1
24,3.4605748938211568e-06,3.4605748938211574e-07,0.0138243656269096,0.3433782534457306,0.8924111431316042,0.4723589514984804,0.7647058823529411,0.7438145944253053,1
25,3.092081262029584e-06,3.092081262029584e-07,0.0131594489268622,0.3345956677547678,0.8952929875120077,0.4275510826531578,0.8205882352941176,0.7450673347948638,1
26,2.735350583704959e-06,2.735350583704959e-07,0.0142853622523598,0.3466005512691254,0.8895292987512008,0.4278033445863163,0.8147058823529412,0.7435014093329158,1
27,2.392582222104142e-06,2.3925822221041426e-07,0.0134872245986111,0.3301381164737668,0.8952929875120077,0.4458913887248319,0.8,0.7353585969307861,1
28,2.06588945815845e-06,2.06588945815845e-07,0.0121085064562002,0.3158980043431409,0.9125840537944284,0.398627733483034,0.8441176470588235,0.7313915857605178,1
