epoch,train_acc_mean,train_acc_std,val_acc_mean,val_acc_std,train_bce_mean,train_bce_std,val_bce_mean,val_bce_std,val_auc_mean,val_auc_std
1,0.41196133900868814,0.03141975664940628,0.20705083007212152,0.11869266606052979,0.7474549343332452,0.018318960693670325,0.8298290947158931,0.07978801051778686,0.6429687245220461,0.0685938290374599
2,0.466778714600166,0.042031172290609514,0.4318309578800168,0.18124741733556574,0.7208789117153654,0.019120503056249905,0.7530418571077786,0.09335299020596705,0.6886672639345737,0.06201909056942191
3,0.5354348753299087,0.04865594646717156,0.4552162531688868,0.13825497432098352,0.6901698538221462,0.022211201568699636,0.7471078948844537,0.0676125424180854,0.713431062047747,0.07888759940933655
4,0.5872551434932431,0.05523621035859776,0.4814310485293193,0.0656700157429331,0.6604552316785895,0.026203853808781572,0.7249978707856599,0.025090756748473112,0.7197694620157327,0.08264576114219224
5,0.6392505526383145,0.038778212130623185,0.5233563733643927,0.05008186128241332,0.6292373229957403,0.020323674136939744,0.713170629723548,0.04828354605097085,0.7300096951337498,0.0823106306097936
6,0.669905705099592,0.0396795689100261,0.5172208838150085,0.08835717518020078,0.6069142680432226,0.027498633787120877,0.7192665092865204,0.0567786006556385,0.731498980877448,0.07483043012815116
7,0.6950099959100483,0.04142070548069491,0.598895659940484,0.10209465239163527,0.5848073888144675,0.032182989974250516,0.6737754748877964,0.061920601604756424,0.7459205201319596,0.0700954702310714
8,0.7241535142920883,0.0208987385715013,0.5968574213568546,0.11708913182489904,0.5614707048729615,0.0240538509802198,0.673926806809211,0.07721848372888324,0.7370815797959226,0.07635501040167049
9,0.7416779785912306,0.032938210037693316,0.648662369118625,0.04678199063744042,0.5355225556893936,0.0301002744974788,0.6316093373457599,0.03970753339742,0.7358421407474337,0.06969815299872795
10,0.7689615128142437,0.022706740300707205,0.6525674935501474,0.0847097094408527,0.511402675358697,0.025257707940535917,0.6280610374223861,0.07046591912883918,0.7377240769035365,0.06835076674114259
11,0.7902296764806993,0.029783380984869646,0.6726114777394206,0.10492550327742008,0.4871632669866483,0.03604639727050456,0.6080862104744289,0.08739256756629739,0.7380970000553249,0.06699342124644642
12,0.8030069808429273,0.030038582027548968,0.7178840022922348,0.07187420201147907,0.4729696680312346,0.02897593959286478,0.5639473753740992,0.07446347226414785,0.7455288383419469,0.06686722241935329
13,0.802980641140449,0.028182367643240155,0.7035429564830671,0.025877038147220328,0.4680839708041288,0.03446848428836354,0.5781365004959751,0.02789507485402175,0.7490538959631236,0.06457539345421187
14,0.8231595740865393,0.021630206210147784,0.752360584948024,0.035133037745671544,0.44195525052224865,0.01911748560237297,0.5251405302014799,0.043436739109674875,0.7562673399401866,0.06666588655125243
15,0.8415979643418522,0.026999185722173684,0.7351004522714274,0.05792931929802461,0.42073761975861845,0.03056190792575072,0.5367264814289778,0.06046305707019968,0.7597830981560296,0.060023603552446944
16,0.854175890683542,0.024091227683159303,0.7282512070602447,0.05367042224017588,0.3967142622107943,0.033735639154399116,0.5376376730676222,0.050230560606036666,0.7581260660710499,0.0565022201606007
17,0.8630499748941822,0.02493178073305854,0.7307962882203988,0.050842094942693046,0.3886068885543033,0.035784196094125253,0.5282974705742995,0.04806597236495419,0.7531325362612373,0.05438225628716578
18,0.8657730092690512,0.025268563152938753,0.765355368690372,0.05062934967847687,0.37420004745315455,0.032694872316110096,0.4882761993029394,0.05167789770633262,0.754418944074013,0.05467356961411397
19,0.8714902339835,0.02083454314407985,0.748287062176926,0.07349187238222381,0.36920547978461576,0.03754991292464063,0.5094304353790062,0.0735927943084587,0.759836198340915,0.04675457656707506
20,0.8792297759134549,0.02371587100169251,0.7536625232269223,0.05188392047396575,0.3552013765780993,0.03269588205223297,0.5056476283524276,0.05904733633227644,0.7637623054344078,0.046663431734028475
