feature_index,feature,weight_w,abs_weight,scaler_mean,scaler_scale
0,oct0_feat,0.172686,0.172686,-5.717170,6.214155
1,oct1_feat,0.092400,0.092400,-4.298045,5.141142
2,octa3_feat,0.108255,0.108255,-3.505376,6.753388
intercept,intercept_b,-0.116187,,,
