row_type,C,fold,auc
per_fold,0.001,1,0.889874
per_fold,0.001,2,0.871568
per_fold,0.001,3,0.894737
per_fold,0.001,4,0.938397
per_fold,0.001,5,0.808612
per_fold,0.01,1,0.892162
per_fold,0.01,2,0.871281
per_fold,0.01,3,0.891876
per_fold,0.01,4,0.941986
per_fold,0.01,5,0.804725
per_fold,0.1,1,0.895595
per_fold,0.1,2,0.870423
per_fold,0.1,3,0.885297
per_fold,0.1,4,0.944677
per_fold,0.1,5,0.799940
per_fold,1.0,1,0.895309
per_fold,1.0,2,0.870995
per_fold,1.0,3,0.881865
per_fold,1.0,4,0.944378
per_fold,1.0,5,0.796950
per_fold,10.0,1,0.895595
per_fold,10.0,2,0.870709
per_fold,10.0,3,0.881007
per_fold,10.0,4,0.944378
per_fold,10.0,5,0.796053
summary,0.001,BEST,0.880638±0.042167
summary,0.01,,0.880406±0.044436
summary,0.1,,0.879187±0.046802
summary,1.0,,0.877899±0.047621
summary,10.0,,0.877548±0.047942
