feature_index,feature,weight_w,abs_weight,scaler_mean,scaler_scale
0,oct0_feat,0.434749,0.434749,-1.050338,1.258912
1,oct1_feat,0.648506,0.648506,-0.926597,1.147004
2,octa3_feat,0.408212,0.408212,-0.661123,0.857319
intercept,intercept_b,-0.450110,,,
