feature_index,feature,weight_w,abs_weight,scaler_mean,scaler_scale
0,oct0_feat,1.135430,1.135430,-0.742914,1.246355
1,oct1_feat,0.394409,0.394409,-2.117139,1.734710
2,octa3_feat,0.199507,0.199507,-0.690515,0.817017
intercept,intercept_b,-0.738045,,,
