epoch,lr,train_focal_loss,train_bce,train_acc,val_bce,val_acc,val_auc
1,1.997001169925015e-06,0.1644018940704385,0.7705324361824089,0.28865979381443296,0.9122194466816682,0.08913649025069638,0.57157874617737
2,1.987856074868236e-06,0.15141156095614547,0.7553360548216043,0.33762886597938147,0.9084937808241352,0.1309192200557103,0.6432530581039755
3,1.9726205186144153e-06,0.14316196560450026,0.7318490968946739,0.3951890034364261,0.9312438061642447,0.15598885793871867,0.7148318042813455
4,1.951388433434194e-06,0.1339581520696686,0.6916496501755469,0.520618556701031,0.8547259685388847,0.27298050139275765,0.7654816513761468
5,1.9242907221930934e-06,0.12188905585057956,0.6665456036931461,0.5781786941580757,0.8046016032317223,0.36768802228412256,0.7695909785932721
6,1.8914944512918174e-06,0.11380359351225325,0.6098436051627615,0.6615120274914089,0.8559983963753852,0.33147632311977715,0.7882262996941896
7,1.85320182064634e-06,0.10654791605841253,0.5898566190729436,0.6898625429553265,0.9164485835099286,0.30362116991643456,0.8122133027522935
8,1.809648917058182e-06,0.09855728209838015,0.562781757300662,0.7328178694158075,0.8243553508955124,0.41225626740947074,0.8307530581039756
9,1.7611042586607746e-06,0.10149597484119159,0.5557504671136129,0.7345360824742269,0.8595129201671207,0.38997214484679665,0.8273126911314984
10,1.7078671394158747e-06,0.0916475004858987,0.5363616849138975,0.7405498281786942,0.8642878817980668,0.40668523676880225,0.8323776758409785
11,1.6502657838667658e-06,0.09097978022090349,0.5052620778788406,0.7637457044673539,0.7330655877304608,0.5153203342618384,0.830848623853211
12,1.5886553235248025e-06,0.09226770934575203,0.4998616666318625,0.7878006872852233,0.834340369967033,0.44846796657381616,0.8415519877675841
13,1.5234156073655503e-06,0.08379091076629679,0.4952766360695829,0.7843642611683849,0.6560250303207333,0.6239554317548747,0.8384938837920489
14,1.4549488599335376e-06,0.08449303914386382,0.4611718437515993,0.8152920962199313,0.7398260513055955,0.5348189415041783,0.8495795107033639
15,1.3836772014941872e-06,0.07630540177072447,0.431280286963453,0.8367697594501718,0.6973495262579001,0.5766016713091922,0.8478593272171253
16,1.3100400455220087e-06,0.07781243906756447,0.42709547240299867,0.8359106529209622,0.840620612865703,0.45403899721448465,0.8539755351681957
17,1.2344913895704096e-06,0.07024857637398842,0.42062846215320204,0.8402061855670103,0.6997230273767434,0.5793871866295265,0.8558868501529053
18,1.1574970162258096e-06,0.08002747660598804,0.4296615677805701,0.8359106529209622,0.7153221051673039,0.5766016713091922,0.854644495412844
19,1.0795316214031047e-06,0.07222816097162843,0.3959051636895773,0.8608247422680413,0.6975176284572208,0.5905292479108635,0.8576070336391437
20,1.001075887687502e-06,0.06611636339261155,0.3883313018431778,0.8642611683848798,0.6734388249830283,0.6128133704735376,0.8601873088685015
21,9.226135207665368e-07,0.06744280379406366,0.3929776781817892,0.8496563573883161,0.6870960098455211,0.6100278551532033,0.8690749235474007
22,8.446282672236616e-07,0.07764860663780641,0.37999150034078616,0.8599656357388317,0.6116777690008158,0.6796657381615598,0.8668769113149848
23,7.676009320796969e-07,0.06335087242148996,0.3923507452625589,0.8676975945017182,0.6519738905609153,0.6406685236768802,0.8664946483180429
24,6.920064144699925e-07,0.06221286062778476,0.38329487752258984,0.8599656357388317,0.6441174783746512,0.6462395543175488,0.8643922018348624
25,6.18310779733341e-07,0.06809749773021825,0.36862565100807504,0.8737113402061856,0.5937738546421933,0.6908077994428969,0.8638188073394495
26,5.469683859641787e-07,0.07785486493938158,0.369606038753929,0.8780068728522337,0.6198387816755885,0.6768802228412256,0.8655389908256881
27,4.784190827438466e-07,0.06597118345297284,0.36020522644020025,0.8719931271477663,0.6114474530007514,0.6796657381615598,0.8672591743119266
28,4.130854993216535e-07,0.06875519354626075,0.354403818800687,0.8823024054982818,0.619100201760826,0.6740947075208914,0.8668769113149846
29,3.513704389650184e-07,0.06508346912019032,0.3525478618661153,0.8805841924398625,0.62919964049852,0.6713091922005571,0.8686926605504587
30,2.936543955433808e-07,0.056284271244638154,0.34290394862902535,0.8900343642611683,0.5869945198048456,0.7047353760445683,0.867545871559633
31,2.4029320765696694e-07,0.06800858259098637,0.34780915086621683,0.8823024054982818,0.6094710190980215,0.6796657381615598,0.8668769113149848
32,1.9161586477349166e-07,0.06650056410900916,0.3512167094909039,0.8745704467353952,0.6408072185383533,0.6545961002785515,0.8692660550458715
33,1.479224788986907e-07,0.058259559539226735,0.3490864750241086,0.877147766323024,0.6263816839805221,0.6713091922005571,0.8671636085626911
34,1.0948243428600778e-07,0.05568851179785745,0.33321863812269625,0.8788659793814433,0.5855406790058593,0.7103064066852368,0.8654434250764527
35,7.653272659309218e-08,0.06114013426492304,0.34468264580797087,0.8865979381443299,0.5833130342714634,0.7103064066852368,0.865347859327217
36,4.927650172475983e-08,0.0730797583333303,0.33112988562108725,0.8926116838487973,0.5989566998229385,0.6908077994428969,0.8660168195718654
37,2.7881803370938595e-08,0.06335766631405788,0.3445787631564124,0.8823024054982818,0.5969451591164953,0.6963788300835655,0.86592125382263
38,1.2480536961439358e-08,0.060812354395070024,0.33180335430345176,0.8874570446735395,0.5948323806680345,0.7019498607242339,0.8658256880733944
39,3.1676564251171824e-09,0.055008616388048916,0.3304856704272765,0.8908934707903781,0.5945918789148995,0.7019498607242339,0.8657301223241589
40,5.787673255097658e-13,0.06984123067859932,0.3508161003237328,0.8702749140893471,0.5947113163291909,0.7019498607242339,0.8657301223241589
41,1.9992500112396833e-06,0.06883568745554518,0.345056717133604,0.8823024054982818,0.5766292873531331,0.7047353760445683,0.8746177370030581
